
Host: Joses-MacBook-Pro-2.local

Timers On : Sat Jan 25 21:32:06 2025
Timers Off: Sat Jan 25 21:32:07 2025

Wall Time:        0.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.017s      0.005w      2 calls
build grid                          :      0.000u      0.017s      0.002w      2 calls
post-process grid                   :      0.000u      0.000s      0.003w      2 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.001w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.002w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.000w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.000w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.083u      0.000s      0.006w      1 calls
SAP: Form V                         :      0.083u      0.000s      0.003w      1 calls
Properties                          :      0.050u      0.050s      0.004w    426 calls
Functional                          :      0.017u      0.000s      0.001w    426 calls
V_xc                                :      0.033u      0.000s      0.003w    426 calls
HF: Form G                          :      0.017u      0.067s      0.007w      1 calls
UV: Form V                          :      0.017u      0.067s      0.006w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      1 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      1 calls
JK: JK                              :      0.000u      0.000s      0.000w      1 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.000w      1 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      1 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      1 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      1 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      1 calls
HF: Form F                          :      0.000u      0.000s      0.000w      1 calls
HF: DIIS                            :      0.017u      0.017s      0.002w      1 calls
HF: Form C                          :      0.000u      0.000s      0.000w      1 calls
HF: Form D                          :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.017s      0.002w      1 calls
| build grid                        :      0.000u      0.017s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.001w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.002w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.000w      1 calls
