            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [C atom]              [C atom]             [Hartree]             [Hartree]
              0.376955            -66.873153             -0.500000             -0.500000              0.305419              0.369253
              0.420548            -68.902797             -0.500001             -0.500001              0.303223              0.370841
              0.464141            -70.366624             -0.500000             -0.500000              0.287630              0.376272
              0.507735            -71.496228             -0.499999             -0.499999              0.246159              0.353142
              0.551328            -72.420484             -0.499999             -0.499999              0.175304              0.315982
              0.594921            -73.182866             -0.500000             -0.500000              0.103737              0.267838
              0.638515            -73.807178             -0.500001             -0.500001              0.078900              0.221576
              0.682108            -74.315086             -0.500001             -0.500001              0.072326              0.185603
              0.725702            -74.724740             -0.500000             -0.500000              0.064021              0.160374
              0.769295            -75.051733             -0.499999             -0.499999              0.054566              0.143235
              0.812888            -75.310040             -0.500000             -0.500000              0.044423              0.131463
              0.856482            -75.512012             -0.500000             -0.500000              0.033929              0.123109
              0.900075            -75.668233             -0.500000             -0.500000              0.023306              0.116932
              0.943669            -75.787576             -0.500000             -0.500000              0.012691              0.112169
              0.987262            -75.877329             -0.500000             -0.500000              0.002168              0.108349
              1.030855            -75.943437             -0.500000             -0.500000             -0.008217              0.105184
              1.074449            -75.990712             -0.500000             -0.500000             -0.018441              0.102493
              1.118042            -76.023041             -0.500000             -0.500000             -0.021807              0.100162
              1.161635            -76.043559             -0.500000             -0.500000             -0.016072              0.098120
              1.205229            -76.054794             -0.500000             -0.500000             -0.010939              0.096323
              1.248822            -76.058783             -0.500000             -0.500000             -0.006322              0.094743
              1.292416            -76.057167             -0.500000             -0.500000             -0.002149              0.093364
              1.336009            -76.051272             -0.500000             -0.500000              0.001636              0.092175
              1.379602            -76.042163             -0.500000             -0.500000              0.005082              0.091169
              1.423196            -76.030700             -0.500000             -0.500000              0.008230              0.090337
              1.466789            -76.017569             -0.500000             -0.500000              0.011113              0.089671
              1.510383            -76.003320             -0.500000             -0.500000              0.013759              0.089162
              1.553976            -75.988386             -0.500000             -0.500000              0.016191              0.088798
              1.597569            -75.973106             -0.500000             -0.500000              0.018431              0.088565
              1.641163            -75.957744             -0.500000             -0.500000              0.020493              0.088451
              1.684756            -75.942500             -0.500000             -0.500000              0.022394              0.088440
              1.728349            -75.927523             -0.500000             -0.500000              0.024143              0.088520
              1.771943            -75.912921             -0.500000             -0.500000              0.025753              0.088678
              1.815536            -75.898771             -0.500000             -0.500000              0.027231              0.088901
              1.859130            -75.885123             -0.500000             -0.500000              0.028588              0.089179
              1.902723            -75.872008             -0.500000             -0.500000              0.029829              0.089503
              1.946316            -75.859443             -0.500000             -0.500000              0.030962              0.089864
              1.989910            -75.847431             -0.500000             -0.500000              0.031994              0.090255
              2.033503            -75.835970             -0.500000             -0.500000              0.032932              0.090669
              2.077097            -75.825050             -0.500000             -0.500000              0.033782              0.091100
              2.120690            -75.814657             -0.500000             -0.500000              0.034549              0.091543
              2.164283            -75.804775             -0.500000             -0.500000              0.035239              0.091992
              2.207877            -75.795384             -0.500000             -0.500000              0.035858              0.092443
              2.251470            -75.786467             -0.500000             -0.500000              0.036411              0.092891
              2.295063            -75.778001             -0.500000             -0.500000              0.036903              0.093333
              2.338657            -75.769968             -0.500000             -0.500000              0.037337              0.093764
              2.382250            -75.762346             -0.500000             -0.500000              0.037718              0.094181
              2.425844            -75.755117             -0.500000             -0.500000              0.038049              0.094583
              2.469437            -75.748260             -0.500000             -0.500000              0.038336              0.094965
              2.513030            -75.741757             -0.500000             -0.500000              0.038579              0.095328
