            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [C atom]              [N atom]             [Hartree]             [Hartree]
              0.409692            -83.957758              0.350243             -1.350243              0.244104              0.294001
              0.437164            -85.176120              0.026828             -1.026827              0.261229              0.329510
              0.464636            -86.264388             -0.207368             -0.792631              0.260346              0.363550
              0.492108            -87.236939             -0.280061             -0.719938              0.229935              0.384810
              0.519580            -88.094202             -0.292163             -0.707836              0.183020              0.397541
              0.547052            -88.841027             -0.293991             -0.706009              0.134230              0.405760
              0.574524            -89.486152             -0.298085             -0.701916              0.093188              0.411420
              0.601996            -90.040010             -0.305659             -0.694342              0.068160              0.415420
              0.629468            -90.513308             -0.315654             -0.684347              0.056820              0.418184
              0.656940            -90.916272             -0.326975             -0.673025              0.048779              0.419907
              0.684412            -91.258289             -0.338862             -0.661137              0.041563              0.420677
              0.711884            -91.547762             -0.350857             -0.649142              0.034837              0.420522
              0.739356            -91.792093             -0.362703             -0.637296              0.028573              0.419447
              0.766828            -91.997733             -0.374269             -0.625731              0.022787              0.417447
              0.794300            -92.170259             -0.385494             -0.614507              0.017485              0.414522
              0.821772            -92.314469             -0.396356             -0.603645              0.012660              0.410683
              0.849244            -92.434480             -0.406856             -0.593145              0.008293              0.405960
              0.876716            -92.533816             -0.416999             -0.583001              0.004356              0.400401
              0.904188            -92.615496             -0.426797             -0.573202              0.000817              0.394076
              0.931661            -92.682104             -0.436261             -0.563739             -0.002360              0.387069
              0.959133            -92.735847             -0.445397             -0.554603             -0.005209              0.379478
              0.986605            -92.778623             -0.454213             -0.545786             -0.007762              0.371405
              1.014077            -92.812056             -0.462714             -0.537285             -0.010047              0.362953
              1.041549            -92.837538             -0.470904             -0.529096             -0.012092              0.354224
              1.069021            -92.856265             -0.478783             -0.521217             -0.013918              0.345310
              1.096493            -92.869265             -0.486352             -0.513648             -0.015546              0.336295
              1.123965            -92.877418             -0.493612             -0.506388             -0.016991              0.327253
              1.151437            -92.881484             -0.500562             -0.499438             -0.018267              0.318247
              1.178909            -92.882114             -0.507200             -0.492800             -0.019386              0.309327
              1.206381            -92.879869             -0.513525             -0.486475             -0.020357              0.300539
              1.233853            -92.875232             -0.519534             -0.480466             -0.021189              0.291916
              1.261325            -92.868618             -0.525227             -0.474773             -0.021888              0.283485
              1.288797            -92.860385             -0.530602             -0.469399             -0.022461              0.275266
              1.316269            -92.850838             -0.535658             -0.464342             -0.022914              0.267275
              1.343741            -92.840243             -0.540399             -0.459602             -0.023252              0.259521
              1.371213            -92.828825             -0.544826             -0.455175             -0.023482              0.252010
              1.398685            -92.816777             -0.548945             -0.451055             -0.020312              0.244747
              1.426157            -92.804264             -0.552766             -0.447235             -0.017258              0.237730
              1.453629            -92.791427             -0.556297             -0.443703             -0.014358              0.230960
              1.481101            -92.778382             -0.559551             -0.440449             -0.011605              0.224434
              1.508573            -92.765231             -0.562542             -0.437458             -0.008995              0.218146
              1.536045            -92.752056             -0.565284             -0.434716             -0.006520              0.212093
              1.563517            -92.738926             -0.567791             -0.432209             -0.004176              0.206268
              1.590990            -92.725898             -0.570079             -0.429921             -0.001959              0.200664
              1.618462            -92.713018             -0.572161             -0.427839              0.000138              0.195276
              1.645934            -92.700324             -0.574052             -0.425948              0.002118              0.190096
              1.673406            -92.687844             -0.575765             -0.424234              0.003987              0.185116
              1.700878            -92.675603             -0.577313             -0.422687              0.005748              0.180330
              1.728350            -92.663616             -0.578707             -0.421292              0.007406              0.175729
              1.755822            -92.651899             -0.579959             -0.420040              0.008966              0.171307
