            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [H atom]              [C atom]             [Hartree]             [Hartree]
              0.402958            -36.792761             -1.037369              0.037369              0.084757              0.246773
              0.429979            -37.070699             -1.059155              0.059155              0.086112              0.247078
              0.456999            -37.303610             -1.080190              0.080190              0.087352              0.247395
              0.484020            -37.499414             -1.100176              0.100176              0.088494              0.247718
              0.511040            -37.664416             -1.118851              0.118851              0.089544              0.248040
              0.538061            -37.803736             -1.135987              0.135987              0.090502              0.248350
              0.565081            -37.921525             -1.151386              0.151386              0.091365              0.248636
              0.592102            -38.021210             -1.164886              0.164886              0.092127              0.248889
              0.619122            -38.105606             -1.176362              0.176362              0.092784              0.249099
              0.646143            -38.177067             -1.185724              0.185724              0.093332              0.249261
              0.673163            -38.237550             -1.192914              0.192914              0.093770              0.249369
              0.700184            -38.288704             -1.197901              0.197901              0.094098              0.249422
              0.727204            -38.331909             -1.200675              0.200675              0.094318              0.249419
              0.754225            -38.368338             -1.201239              0.201238              0.094432              0.249360
              0.781245            -38.398977             -1.199604              0.199604              0.094444              0.249246
              0.808266            -38.424665             -1.195790              0.195791              0.094359              0.249079
              0.835286            -38.446113             -1.189821              0.189821              0.094180              0.248859
              0.862307            -38.463931             -1.181727              0.181727              0.093913              0.248590
              0.889327            -38.478635             -1.171553              0.171553              0.093560              0.248272
              0.916348            -38.490671             -1.159361              0.159361              0.093128              0.247908
              0.943368            -38.500417             -1.145249              0.145249              0.092618              0.247499
              0.970389            -38.508202             -1.129354              0.129354              0.092036              0.247046
              0.997409            -38.514307             -1.111866              0.111866              0.091383              0.246551
              1.024430            -38.518975             -1.093030              0.093030              0.090662              0.246014
              1.051450            -38.522415             -1.073142              0.073142              0.089875              0.245435
              1.078471            -38.524809             -1.052527              0.052527              0.089024              0.244814
              1.105491            -38.526314             -1.031518              0.031518              0.088109              0.244151
              1.132512            -38.527064             -1.010415              0.010415              0.087131              0.243446
              1.159532            -38.527178             -0.989473             -0.010527              0.086092              0.242698
              1.186553            -38.526757             -0.968879             -0.031121              0.084993              0.241907
              1.213573            -38.525888             -0.948760             -0.051240              0.083834              0.241073
              1.240594            -38.524647             -0.929191             -0.070809              0.082617              0.240197
              1.267615            -38.523099             -0.910207             -0.089793              0.081344              0.239279
              1.294635            -38.521301             -0.891819             -0.108181              0.080018              0.238321
              1.321656            -38.519301             -0.874020             -0.125980              0.078641              0.237323
              1.348676            -38.517140             -0.856798             -0.143202              0.077216              0.236289
              1.375697            -38.514853             -0.840135             -0.159865              0.075745              0.235218
              1.402717            -38.512471             -0.824012             -0.175988              0.074233              0.234114
              1.429738            -38.510020             -0.808413             -0.191587              0.072682              0.232979
              1.456758            -38.507522             -0.793321             -0.206679              0.071096              0.231814
              1.483779            -38.504994             -0.778720             -0.221280              0.069477              0.230622
              1.510799            -38.502453             -0.764600             -0.235400              0.067829              0.229405
              1.537820            -38.499912             -0.750945             -0.249055              0.066156              0.228165
              1.564840            -38.497381             -0.737748             -0.262252              0.064459              0.226905
              1.591861            -38.494871             -0.724996             -0.275004              0.062744              0.225627
              1.618881            -38.492387             -0.712683             -0.287317              0.061012              0.224333
              1.645902            -38.489938             -0.700800             -0.299200              0.059267              0.223026
              1.672922            -38.487527             -0.689342             -0.310658              0.057513              0.221709
              1.699943            -38.485158             -0.678303             -0.321697              0.055751              0.220383
              1.726963            -38.482836             -0.667679             -0.332321              0.053987              0.219053
