            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [H atom]              [H atom]             [Hartree]             [Hartree]
              0.349108             -0.709177             -0.500000             -0.500000              0.225855              0.321116
              0.389481             -0.804968             -0.500000             -0.500000              0.226519              0.321854
              0.429855             -0.873607             -0.500000             -0.500000              0.228162              0.323825
              0.470228             -0.923114             -0.500000             -0.500000              0.230192              0.326265
              0.510601             -0.959199             -0.500000             -0.500000              0.231719              0.328038
              0.550974             -0.985840             -0.500000             -0.500000              0.232123              0.328400
              0.591347             -1.005669             -0.500000             -0.500000              0.231315              0.327307
              0.631720             -1.020430             -0.500000             -0.500000              0.229509              0.325100
              0.672093             -1.031350             -0.500000             -0.500000              0.226959              0.322141
              0.712466             -1.039352             -0.500000             -0.500000              0.223843              0.318681
              0.752839             -1.045153             -0.500000             -0.500000              0.220261              0.314864
              0.793212             -1.049312             -0.500000             -0.500000              0.216265              0.310769
              0.833585             -1.052261             -0.500000             -0.500000              0.211888              0.306452
              0.873958             -1.054325             -0.500000             -0.500000              0.207167              0.301961
              0.914331             -1.055748             -0.500000             -0.500000              0.202142              0.297340
              0.954705             -1.056709             -0.500000             -0.500000              0.196856              0.292630
              0.995078             -1.057340             -0.500000             -0.500000              0.191353              0.287863
              1.035451             -1.057736             -0.500000             -0.500000              0.185675              0.283065
              1.075824             -1.057969             -0.500000             -0.500000              0.179859              0.278249
              1.116197             -1.058088             -0.500000             -0.500000              0.173939              0.273428
              1.156570             -1.058128             -0.500000             -0.500000              0.167948              0.268607
              1.196943             -1.058113             -0.500000             -0.500000              0.161915              0.263793
              1.237316             -1.058060             -0.500000             -0.500000              0.155868              0.258988
              1.277689             -1.057978             -0.500000             -0.500000              0.149833              0.254199
              1.318062             -1.057874             -0.500000             -0.500000              0.143831              0.249430
              1.358435             -1.057751             -0.500000             -0.500000              0.137885              0.244686
              1.398808             -1.057612             -0.500000             -0.500000              0.132012              0.239973
              1.439181             -1.057456             -0.500000             -0.500000              0.126229              0.235297
              1.479555             -1.057285             -0.500000             -0.500000              0.120550              0.230665
              1.519928             -1.057099             -0.500000             -0.500000              0.114985              0.226083
              1.560301             -1.056897             -0.500000             -0.500000              0.109544              0.221557
              1.600674             -1.056680             -0.500000             -0.500000              0.104236              0.217094
              1.641047             -1.056448             -0.500000             -0.500000              0.099065              0.212699
              1.681420             -1.056201             -0.500000             -0.500000              0.094037              0.208376
              1.721793             -1.055939             -0.500000             -0.500000              0.089154              0.204132
              1.762166             -1.055664             -0.500000             -0.500000              0.084419              0.199969
              1.802539             -1.055376             -0.500000             -0.500000              0.079832              0.195892
              1.842912             -1.055076             -0.500000             -0.500000              0.075393              0.191903
              1.883285             -1.054766             -0.500000             -0.500000              0.071102              0.188005
              1.923658             -1.054447             -0.500000             -0.500000              0.066958              0.184198
              1.964031             -1.054121             -0.500000             -0.500000              0.062957              0.180484
              2.004404             -1.053788             -0.500000             -0.500000              0.059097              0.176863
              2.044778             -1.053450             -0.500000             -0.500000              0.055375              0.173335
              2.085151             -1.053110             -0.500000             -0.500000              0.051786              0.169898
              2.125524             -1.052769             -0.500000             -0.500000              0.048327              0.166552
              2.165897             -1.052428             -0.500000             -0.500000              0.044993              0.163294
              2.206270             -1.052090             -0.500000             -0.500000              0.042780              0.160122
              2.246643             -1.051755             -0.500000             -0.500000              0.043329              0.157034
              2.287016             -1.051427             -0.500000             -0.500000              0.043813              0.154027
              2.327389             -1.051105             -0.500000             -0.500000              0.044235              0.151098
