            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [N atom]              [N atom]             [Hartree]             [Hartree]
              0.356554            -95.284744             -0.500001             -0.500001              0.339943              0.412583
              0.397789            -98.442528             -0.500000             -0.500000              0.394170              0.466160
              0.439023           -100.886254             -0.499999             -0.499999              0.465620              0.492201
              0.480257           -102.878207             -0.499999             -0.499999              0.464551              0.515498
              0.521491           -104.437929             -0.500000             -0.500000              0.459805              0.532986
              0.562725           -105.648912             -0.500001             -0.500001              0.452814              0.525605
              0.603959           -106.584085             -0.500001             -0.500001              0.443830              0.516448
              0.645194           -107.303792             -0.500000             -0.500000              0.432807              0.505634
              0.686428           -107.856326             -0.499999             -0.499999              0.419701              0.493222
              0.727662           -108.279642             -0.500000             -0.500000              0.404571              0.479299
              0.768896           -108.603134             -0.500001             -0.500001              0.387606              0.464003
              0.810130           -108.849412             -0.500000             -0.500000              0.369116              0.447529
              0.851364           -109.035821             -0.500000             -0.500000              0.349498              0.430125
              0.892599           -109.175699             -0.500000             -0.500000              0.329184              0.412072
              0.933833           -109.279322             -0.500000             -0.500000              0.308597              0.393669
              0.975067           -109.354666             -0.500000             -0.500000              0.288111              0.375202
              1.016301           -109.407942             -0.500000             -0.500000              0.268035              0.356923
              1.057535           -109.444012             -0.500000             -0.500000              0.248605              0.339044
              1.098769           -109.466702             -0.500000             -0.500000              0.229987              0.321728
              1.140004           -109.479033             -0.500000             -0.500000              0.212293              0.305095
              1.181238           -109.483397             -0.500000             -0.500000              0.195585              0.289225
              1.222472           -109.481695             -0.500000             -0.500000              0.179889              0.274166
              1.263706           -109.475431             -0.500000             -0.500000              0.165205              0.259939
              1.304940           -109.465793             -0.500000             -0.500000              0.151511              0.246545
              1.346175           -109.453717             -0.500000             -0.500000              0.138771              0.233968
              1.387409           -109.439931             -0.500000             -0.500000              0.126938              0.222183
              1.428643           -109.425002             -0.500000             -0.500000              0.115962              0.211155
              1.469877           -109.409365             -0.500000             -0.500000              0.105785              0.200843
              1.511111           -109.393350             -0.500000             -0.500000              0.096352              0.191206
              1.552345           -109.377208             -0.500000             -0.500000              0.087607              0.182200
              1.593580           -109.361127             -0.500000             -0.500000              0.079495              0.173780
              1.634814           -109.345246             -0.500000             -0.500000              0.071966              0.165906
              1.676048           -109.329669             -0.500000             -0.500000              0.064972              0.158537
              1.717282           -109.314471             -0.500000             -0.500000              0.058469              0.151635
              1.758516           -109.299707             -0.500000             -0.500000              0.052416              0.145165
              1.799750           -109.285415             -0.500000             -0.500000              0.046777              0.139095
              1.840985           -109.271621             -0.500000             -0.500000              0.041824              0.133394
              1.882219           -109.258343             -0.500000             -0.500000              0.043503              0.128034
              1.923453           -109.245589             -0.500000             -0.500000              0.044979              0.122991
              1.964687           -109.233360             -0.500000             -0.500000              0.046271              0.118240
              2.005921           -109.221656             -0.500000             -0.500000              0.047394              0.113760
              2.047155           -109.210468             -0.500000             -0.500000              0.048366              0.109529
              2.088390           -109.199787             -0.500000             -0.500000              0.049199              0.105531
              2.129624           -109.189602             -0.500000             -0.500000              0.049907              0.101748
              2.170858           -109.179898             -0.500000             -0.500000              0.050501              0.098164
              2.212092           -109.170660             -0.500001             -0.500001              0.050992              0.094765
              2.253326           -109.161871             -0.500001             -0.500001              0.051390              0.091538
              2.294561           -109.153514             -0.500001             -0.500001              0.051704              0.088472
              2.335795           -109.145573             -0.500001             -0.500001              0.051943              0.085555
              2.377029           -109.138031             -0.500001             -0.500001              0.052112              0.082776
