            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [C atom]              [C atom]             [Hartree]             [Hartree]
              0.746011            -74.247016              0.500000              0.500000             -0.762899             -0.746628
              0.768848            -74.418272              0.500001              0.500001             -0.766597             -0.730583
              0.791685            -74.569232              0.500001              0.500001             -0.770363             -0.715860
              0.814523            -74.701969              0.500000              0.500000             -0.774162             -0.702281
              0.837360            -74.818372              0.500000              0.500000             -0.777209             -0.689697
              0.860197            -74.920181              0.500000              0.500000             -0.775312             -0.677981
              0.883034            -75.008962              0.500000              0.500000             -0.773390             -0.667031
              0.905871            -75.086133              0.500000              0.500000             -0.771472             -0.656759
              0.928708            -75.152962              0.500000              0.500000             -0.768315             -0.647093
              0.951545            -75.210590              0.500000              0.500000             -0.758016             -0.637972
              0.974382            -75.260035              0.500000              0.500000             -0.748264             -0.629341
              0.997219            -75.302207              0.500000              0.500000             -0.739010             -0.621158
              1.020056            -75.337919              0.500000              0.500000             -0.730212             -0.613383
              1.042893            -75.367896              0.500000              0.500000             -0.721832             -0.605982
              1.065730            -75.392784              0.500000              0.500000             -0.713838             -0.598926
              1.088568            -75.413162              0.500000              0.500000             -0.706200             -0.592189
              1.111405            -75.429542              0.500000              0.500000             -0.698895             -0.585747
              1.134242            -75.442385              0.500000              0.500000             -0.691898             -0.579581
              1.157079            -75.452099              0.500000              0.500000             -0.685191             -0.573672
              1.179916            -75.459051              0.500000              0.500000             -0.678754             -0.574550
              1.202753            -75.463567              0.500000              0.500000             -0.672570             -0.578229
              1.225590            -75.465938              0.500000              0.500000             -0.666626             -0.581899
              1.248427            -75.466425              0.500000              0.500000             -0.660907             -0.585559
              1.271264            -75.465260              0.500000              0.500000             -0.655401             -0.589211
              1.294101            -75.462652              0.500000              0.500000             -0.650096             -0.592855
              1.316938            -75.458787              0.500000              0.500000             -0.644982             -0.596491
              1.339775            -75.453831              0.500000              0.500000             -0.640048             -0.600120
              1.362613            -75.447934              0.500000              0.500000             -0.635286             -0.603741
              1.385450            -75.441229              0.500000              0.500000             -0.630687             -0.607352
              1.408287            -75.433835              0.500000              0.500000             -0.626243             -0.610954
              1.431124            -75.425861              0.500000              0.500000             -0.621947             -0.614544
              1.453961            -75.504863              0.500000              0.500000             -0.704288             -0.542296
              1.476798            -75.503182              0.500000              0.500000             -0.698582             -0.537925
              1.499635            -75.501039              0.500000              0.500000             -0.693059             -0.533688
              1.522472            -75.498505              0.500000              0.500000             -0.687714             -0.531249
              1.545309            -75.495644              0.500000              0.500000             -0.682539             -0.529463
              1.568146            -75.492510              0.500000              0.500000             -0.677530             -0.527670
              1.590983            -75.489153              0.500000              0.500000             -0.672680             -0.525871
              1.613820            -75.485615              0.500000              0.500000             -0.667985             -0.524066
              1.636657            -75.481935              0.500000              0.500000             -0.663440             -0.522255
              1.659495            -75.478146              0.500000              0.500000             -0.659040             -0.520439
              1.682332            -75.474275              0.500000              0.500000             -0.654780             -0.518619
              1.705169            -75.470348              0.500000              0.500000             -0.650657             -0.516796
              1.728006            -75.466386              0.500000              0.500000             -0.646667             -0.514972
              1.750843            -75.462408              0.500000              0.500000             -0.642805             -0.513146
              1.773680            -75.458429              0.500000              0.500000             -0.639067             -0.511321
              1.796517            -75.454462              0.500000              0.500000             -0.635450             -0.509498
              1.819354            -75.450520              0.500000              0.500000             -0.631949             -0.507677
              1.842191            -75.446611              0.500000              0.500000             -0.628562             -0.505860
              1.865028            -75.442743              0.500000              0.500000             -0.625284             -0.504048
