            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [C atom]              [N atom]             [Hartree]             [Hartree]
              0.738938            -91.200228              0.381359              0.618642             -0.790971             -0.639070
              0.761559            -91.362549              0.373990              0.626010             -0.793196             -0.643129
              0.784179            -91.502705              0.366152              0.633848             -0.795454             -0.646635
              0.806800            -91.623301              0.358019              0.641980             -0.797714             -0.649774
              0.829420            -91.726638              0.349728              0.650271             -0.799951             -0.652679
              0.852041            -91.814782              0.341383              0.658616             -0.802147             -0.655448
              0.874661            -91.791271              0.018079              0.981921             -0.777344             -0.771633
              0.897282            -91.868053              0.032379              0.967621             -0.779373             -0.760446
              0.919902            -91.933921              0.047409              0.952591             -0.781528             -0.749831
              0.942523            -91.990199              0.062788              0.937212             -0.783777             -0.739733
              0.965143            -92.038041              0.078192              0.921808             -0.786092             -0.730106
              0.987764            -92.078473              0.093366              0.906634             -0.788445             -0.720907
              1.010385            -92.112392              0.108120              0.891881             -0.790814             -0.712104
              1.033005            -92.140594              0.122327              0.877673             -0.793179             -0.703668
              1.055626            -92.163782              0.135912              0.864088             -0.795531             -0.695573
              1.078246            -92.182577              0.148834              0.851166             -0.797859             -0.687798
              1.100867            -92.197531              0.161080              0.838921             -0.799703             -0.680321
              1.123487            -92.209129              0.172650              0.827350             -0.791661             -0.673125
              1.146108            -92.217806              0.183556              0.816444             -0.783922             -0.666194
              1.168728            -92.223944              0.193813              0.806187             -0.776469             -0.659510
              1.191349            -92.227885              0.203436              0.796564             -0.769281             -0.653060
              1.213970            -92.229932              0.212439              0.787560             -0.762338             -0.646828
              1.236590            -92.230353              0.220833              0.779167             -0.755622             -0.640802
              1.259211            -92.229387              0.228623              0.771377             -0.749112             -0.634968
              1.281831            -92.227247              0.235812              0.764188             -0.742788             -0.629314
              1.304452            -92.224121              0.242400              0.757599             -0.736625             -0.623828
              1.327072            -92.220175              0.248386              0.751613             -0.730603             -0.618501
              1.349693            -92.215556              0.253772              0.746228             -0.724694             -0.613321
              1.372313            -92.210396              0.258567              0.741433             -0.718873             -0.608282
              1.394934            -92.204807              0.262797              0.737202             -0.713107             -0.605222
              1.417554            -92.198891              0.266521              0.733478             -0.707361             -0.604025
              1.440175            -92.192742              0.269861              0.730139             -0.701590             -0.602654
              1.462796            -92.186444              0.273071              0.726929             -0.695751             -0.601085
              1.485416            -92.180090              0.276655              0.723345             -0.689849             -0.599254
              1.508037            -92.173784              0.281301              0.718699             -0.684067             -0.597057
              1.530657            -92.167641              0.287186              0.712814             -0.678749             -0.594454
              1.553278            -92.161744              0.293715              0.706285             -0.674048             -0.591555
              1.575898            -92.156139              0.300275              0.699725             -0.669893             -0.588497
              1.598519            -92.150840              0.306546              0.693454             -0.666172             -0.585369
              1.621139            -92.145850              0.312375              0.687625             -0.662802             -0.582222
              1.643760            -92.141162              0.317697              0.682303             -0.659727             -0.579085
              1.666380            -92.136767              0.322476              0.677524             -0.656914             -0.575977
              1.689001            -92.132650              0.326694              0.673307             -0.654336             -0.572907
              1.711622            -92.128798              0.330340              0.669661             -0.651979             -0.569885
              1.734242            -92.125196              0.333412              0.666589             -0.649830             -0.566915
              1.756863            -92.121828              0.335912              0.664088             -0.647879             -0.564002
              1.779483            -92.118679              0.337849              0.662152             -0.646118             -0.561149
              1.802104            -92.115734              0.339234              0.660767             -0.644541             -0.558359
              1.824724            -92.112977              0.340086              0.659915             -0.643140             -0.555634
              1.847345            -92.110394              0.340430              0.659571             -0.641906             -0.552976
