            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [C atom]              [O atom]             [Hartree]             [Hartree]
              0.665995           -111.193659             -0.062710              1.062711             -0.843798             -0.615197
              0.686382           -111.434678             -0.066535              1.066535             -0.849497             -0.616933
              0.706770           -111.644795             -0.069210              1.069209             -0.854717             -0.618514
              0.727157           -111.827680             -0.070848              1.070846             -0.859429             -0.619981
              0.747545           -111.986603             -0.071571              1.071569             -0.863601             -0.621380
              0.767933           -112.124417             -0.071501              1.071498             -0.867194             -0.622752
              0.788320           -112.243634             -0.070748              1.070746             -0.870179             -0.624101
              0.808708           -112.346480             -0.069411              1.069411             -0.872537             -0.625503
              0.829095           -112.434894             -0.067576              1.067577             -0.874274             -0.626919
              0.849483           -112.510601             -0.065314              1.065315             -0.875425             -0.628388
              0.869870           -112.575106             -0.062683              1.062684             -0.876049             -0.629869
              0.890258           -112.629752             -0.059732              1.059732             -0.876220             -0.631400
              0.910646           -112.675712             -0.056498              1.056499             -0.876019             -0.632960
              0.931033           -112.714027             -0.053015              1.053016             -0.875521             -0.634550
              0.951421           -112.745621             -0.049308              1.049308             -0.874793             -0.636164
              0.971808           -112.771308             -0.045399              1.045399             -0.873889             -0.637793
              0.992196           -112.791812             -0.041305              1.041305             -0.872851             -0.639431
              1.012584           -112.807772             -0.037042              1.037041             -0.871713             -0.641070
              1.032971           -112.819756             -0.032622              1.032622             -0.870498             -0.642701
              1.053359           -112.828269             -0.028058              1.028057             -0.869226             -0.644316
              1.073746           -112.833758             -0.023360              1.023360             -0.867908             -0.645906
              1.094134           -112.836621             -0.018539              1.018538             -0.866553             -0.647464
              1.114522           -112.837211             -0.013604              1.013604             -0.862065             -0.648980
              1.134909           -112.835843             -0.008566              1.008566             -0.854722             -0.650445
              1.155297           -112.832796             -0.003435              1.003435             -0.847669             -0.651851
              1.175684           -112.828318              0.001776              0.998223             -0.840894             -0.653188
              1.196072           -112.822630              0.007057              0.992943             -0.834382             -0.654447
              1.216459           -112.815929              0.012391              0.987609             -0.828120             -0.655617
              1.236847           -112.808390              0.017762              0.982237             -0.822093             -0.656689
              1.257235           -112.800168              0.023152              0.976848             -0.816286             -0.657651
              1.277622           -112.791401              0.028538              0.971462             -0.810682             -0.658494
              1.298010           -112.782212              0.033893              0.966107             -0.804966             -0.659206
              1.318397           -112.772709              0.039188              0.960813             -0.799337             -0.659774
              1.338785           -112.762986              0.044387              0.955613             -0.793923             -0.660188
              1.359173           -112.753129              0.049453              0.950547             -0.788720             -0.660435
              1.379560           -112.743209              0.054341              0.945660             -0.783728             -0.660503
              1.399948           -112.733290              0.059005              0.940995             -0.778944             -0.660382
              1.420335           -112.723425              0.063397              0.936603             -0.774372             -0.660061
              1.440723           -112.713660              0.067470              0.932531             -0.770018             -0.659533
              1.461111           -112.704032              0.071176              0.928825             -0.765777             -0.658795
              1.481498           -112.694572              0.074475              0.925526             -0.760806             -0.657847
              1.501886           -112.685304              0.077338              0.922663             -0.755542             -0.656699
              1.522273           -112.676251              0.079849              0.920152             -0.749477             -0.655370
              1.542661           -112.667453              0.084088              0.915913             -0.740766             -0.653767
              1.563048           -112.659029              0.094848              0.905153             -0.731704             -0.651396
              1.583436           -112.651022              0.106905              0.893096             -0.724852             -0.648684
              1.603824           -112.643412              0.118738              0.881263             -0.719030             -0.645885
              1.624211           -112.636177              0.130248              0.869753             -0.713784             -0.643059
              1.644599           -112.629298              0.141455              0.858546             -0.708923             -0.640232
              1.664986           -112.622763              0.152389              0.847612             -0.704348             -0.637413
