            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [H atom]              [C atom]             [Hartree]             [Hartree]
              0.341014            -35.430891              0.984205              0.015795             -0.806830             -0.616407
              0.380452            -36.033910              0.977080              0.022920             -0.795076             -0.608006
              0.419889            -36.494840              0.967439              0.032561             -0.785364             -0.600953
              0.459326            -36.850758              0.956115              0.043885             -0.777350             -0.594920
              0.498763            -37.127623              0.943853              0.056147             -0.770718             -0.589660
              0.538200            -37.344142              0.931263              0.068737             -0.765201             -0.585000
              0.577637            -37.514077              0.918817              0.081183             -0.760570             -0.580817
              0.617074            -37.647722              0.906847              0.093153             -0.756639             -0.577027
              0.656511            -37.752894              0.895558              0.104442             -0.753250             -0.573567
              0.695948            -37.835600              0.885045              0.114955             -0.750274             -0.570388
              0.735385            -37.900499              0.875325              0.124675             -0.747602             -0.567452
              0.774822            -37.951227              0.866355              0.133645             -0.745144             -0.564726
              0.814259            -37.990637              0.858065              0.141935             -0.742824             -0.562182
              0.853696            -38.020981              0.850367              0.149633             -0.740574             -0.559798
              0.893133            -38.044042              0.843174              0.156826             -0.738338             -0.557555
              0.932570            -38.061241              0.836404              0.163596             -0.736068             -0.555436
              0.972007            -38.073716              0.829983              0.170017             -0.733721             -0.553425
              1.011444            -38.082382              0.823849              0.176151             -0.731263             -0.551508
              1.050881            -38.087978              0.817948              0.182052             -0.728665             -0.549672
              1.090318            -38.091100              0.812237              0.187763             -0.725902             -0.547905
              1.129756            -38.092233              0.806678              0.193322             -0.722955             -0.546195
              1.169193            -38.091771              0.801242              0.198758             -0.719814             -0.544535
              1.208630            -38.090034              0.795901              0.204099             -0.716471             -0.542917
              1.248067            -38.087284              0.790634              0.209366             -0.712926             -0.541334
              1.287504            -38.083733              0.785423              0.214577             -0.709186             -0.539781
              1.326941            -38.079559              0.780254              0.219745             -0.705261             -0.538252
              1.366378            -38.074907              0.775118              0.224882             -0.701169             -0.536743
              1.405815            -38.069895              0.770007              0.229993             -0.696927             -0.535249
              1.445252            -38.064624              0.764915              0.235085             -0.692558             -0.533763
              1.484689            -38.059173              0.759840              0.240160             -0.688086             -0.532283
              1.524126            -38.053610              0.754781              0.245219             -0.683532             -0.530803
              1.563563            -38.047990              0.749738              0.250262             -0.678922             -0.529321
              1.603000            -38.042357              0.744714              0.255286             -0.674277             -0.527833
              1.642437            -38.036747              0.739713              0.260287             -0.669618             -0.526339
              1.681874            -38.031190              0.734741              0.265259             -0.664963             -0.524836
              1.721311            -38.025708              0.729803              0.270197             -0.660329             -0.523324
              1.760748            -38.020320              0.724908              0.275092             -0.655732             -0.521803
              1.800185            -38.015041              0.720064              0.279936             -0.651183             -0.520272
              1.839622            -38.009884              0.715278              0.284723             -0.646694             -0.518734
              1.879059            -38.004856              0.710558              0.289442             -0.642274             -0.517187
              1.918497            -37.999965              0.705912              0.294088             -0.637930             -0.515635
              1.957934            -37.995216              0.701348              0.298652             -0.633668             -0.514077
              1.997371            -37.990612              0.696871              0.303129             -0.629494             -0.512516
              2.036808            -37.986156              0.692488              0.307512             -0.625411             -0.510953
              2.076245            -37.981849              0.688203              0.311797             -0.621421             -0.509389
              2.115682            -37.977691              0.684019              0.315981             -0.617527             -0.507828
              2.155119            -37.973682              0.679941              0.320059             -0.613729             -0.506269
              2.194556            -37.969820              0.675971              0.324029             -0.610028             -0.504716
              2.233993            -37.966105              0.672110              0.327890             -0.606423             -0.503169
              2.273430            -37.962534              0.668360              0.331640             -0.602914             -0.501630
