            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [H atom]              [H atom]             [Hartree]             [Hartree]
              0.668263             -0.545329              0.500000              0.500000             -1.100961             -0.669001
              0.688720             -0.553920              0.500000              0.500000             -1.088922             -0.662234
              0.709177             -0.561548              0.500000              0.500000             -1.077206             -0.655634
              0.729634             -0.568316              0.500000              0.500000             -1.065801             -0.649198
              0.750091             -0.574313              0.500000              0.500000             -1.054699             -0.642921
              0.770548             -0.579620              0.500000              0.500000             -1.043891             -0.636798
              0.791005             -0.584305              0.500000              0.500000             -1.033367             -0.630827
              0.811462             -0.588432              0.500000              0.500000             -1.023119             -0.625002
              0.831919             -0.592055              0.500000              0.500000             -1.013138             -0.619319
              0.852376             -0.595225              0.500000              0.500000             -1.003415             -0.613775
              0.872833             -0.597984              0.500000              0.500000             -0.993944             -0.608365
              0.893290             -0.600374              0.500000              0.500000             -0.984715             -0.603085
              0.913747             -0.602429              0.500000              0.500000             -0.975722             -0.597932
              0.934204             -0.604181              0.500000              0.500000             -0.966958             -0.592901
              0.954661             -0.605658              0.500000              0.500000             -0.958414             -0.587990
              0.975118             -0.606888              0.500000              0.500000             -0.950085             -0.583194
              0.995575             -0.607892              0.500000              0.500000             -0.941964             -0.578510
              1.016032             -0.608693              0.500000              0.500000             -0.934045             -0.573936
              1.036489             -0.609309              0.500000              0.500000             -0.926322             -0.569467
              1.056946             -0.609757              0.500000              0.500000             -0.918788             -0.565100
              1.077403             -0.610054              0.500000              0.500000             -0.911438             -0.560834
              1.097860             -0.610214              0.500000              0.500000             -0.904267             -0.556664
              1.118317             -0.610250              0.500000              0.500000             -0.897270             -0.552587
              1.138774             -0.610173              0.500000              0.500000             -0.890441             -0.548602
              1.159231             -0.609996              0.500000              0.500000             -0.883776             -0.544705
              1.179688             -0.609727              0.500000              0.500000             -0.877270             -0.540894
              1.200145             -0.609376              0.500000              0.500000             -0.870918             -0.537166
              1.220602             -0.608951              0.500000              0.500000             -0.864716             -0.533519
              1.241059             -0.608460              0.500000              0.500000             -0.858660             -0.529950
              1.261516             -0.607910              0.500000              0.500000             -0.852746             -0.526457
              1.281973             -0.607307              0.500000              0.500000             -0.846970             -0.523038
              1.302430             -0.606658              0.500000              0.500000             -0.841328             -0.519691
              1.322887             -0.605967              0.500000              0.500000             -0.835816             -0.516413
              1.343344             -0.605240              0.500000              0.500000             -0.830432             -0.513203
              1.363801             -0.604481              0.500000              0.500000             -0.825171             -0.510058
              1.384258             -0.603695              0.500000              0.500000             -0.820030             -0.506978
              1.404715             -0.602885              0.500000              0.500000             -0.815006             -0.503959
              1.425172             -0.602054              0.500000              0.500000             -0.810097             -0.501001
              1.445629             -0.601207              0.500000              0.500000             -0.805298             -0.503717
              1.466086             -0.600345              0.500000              0.500000             -0.800607             -0.506741
              1.486543             -0.599473              0.500000              0.500000             -0.796022             -0.509661
              1.507000             -0.598592              0.500000              0.500000             -0.791539             -0.512482
              1.527457             -0.597704              0.500000              0.500000             -0.787157             -0.515206
              1.547914             -0.596812              0.500000              0.500000             -0.782871             -0.517835
              1.568371             -0.595918              0.500000              0.500000             -0.778681             -0.520372
              1.588828             -0.595023              0.500000              0.500000             -0.774583             -0.522819
              1.609285             -0.594129              0.500000              0.500000             -0.770575             -0.525179
              1.629742             -0.593238              0.500000              0.500000             -0.766655             -0.527455
              1.650199             -0.592351              0.500000              0.500000             -0.762821             -0.529648
              1.670657             -0.591469              0.500000              0.500000             -0.759070             -0.531762
