            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [N atom]              [N atom]             [Hartree]             [Hartree]
              0.662864           -107.272285              0.500001              0.500001             -0.812731             -0.773963
              0.683156           -107.522382              0.500001              0.500001             -0.818328             -0.773249
              0.703448           -107.740944              0.500001              0.500001             -0.823965             -0.771834
              0.723740           -107.931565              0.500000              0.500000             -0.829602             -0.769952
              0.744031           -108.097451              0.500000              0.500000             -0.835207             -0.767768
              0.764323           -108.241482              0.499999              0.499999             -0.840763             -0.765396
              0.784615           -108.366196              0.499999              0.499999             -0.846258             -0.762918
              0.804907           -108.473852              0.499999              0.499999             -0.851685             -0.760392
              0.825198           -108.566445              0.500000              0.500000             -0.857042             -0.757857
              0.845490           -108.645757              0.500000              0.500000             -0.862328             -0.755339
              0.865782           -108.713353              0.500000              0.500000             -0.867546             -0.752855
              0.886074           -108.770620              0.500000              0.500000             -0.872699             -0.750415
              0.906366           -108.818789              0.500000              0.500000             -0.877789             -0.748026
              0.926657           -108.858946              0.500000              0.500000             -0.882822             -0.745688
              0.946949           -108.892060              0.500000              0.500000             -0.887802             -0.743399
              0.967241           -108.918983              0.500000              0.500000             -0.892732             -0.741157
              0.987533           -108.940471              0.500000              0.500000             -0.897619             -0.738957
              1.007824           -108.957197              0.500000              0.500000             -0.902465             -0.736792
              1.028116           -108.969757              0.500000              0.500000             -0.907276             -0.734656
              1.048408           -108.978679              0.500000              0.500000             -0.898121             -0.732541
              1.068700           -108.984433              0.500000              0.500000             -0.889173             -0.730442
              1.088991           -108.987436              0.500000              0.500000             -0.880559             -0.728350
              1.109283           -108.988058              0.500000              0.500000             -0.872258             -0.726258
              1.129575           -108.986628              0.500000              0.500000             -0.864253             -0.724161
              1.149867           -108.983438              0.500000              0.500000             -0.856528             -0.722052
              1.170159           -108.978747              0.500000              0.500000             -0.849068             -0.719926
              1.190450           -108.972785              0.500000              0.500000             -0.841860             -0.717780
              1.210742           -108.965754              0.500000              0.500000             -0.834889             -0.715609
              1.231034           -108.957836              0.500000              0.500000             -0.828146             -0.713411
              1.251326           -108.949187              0.500000              0.500000             -0.821618             -0.711184
              1.271617           -108.939948              0.500000              0.500000             -0.815297             -0.708927
              1.291909           -108.930241              0.500000              0.500000             -0.809173             -0.706640
              1.312201           -108.920172              0.500000              0.500000             -0.803238             -0.704322
              1.332493           -108.909836              0.500000              0.500000             -0.797484             -0.701975
              1.352784           -108.899313              0.500000              0.500000             -0.791904             -0.699599
              1.373076           -108.888672              0.500000              0.500000             -0.786492             -0.697196
              1.393368           -108.877975              0.500000              0.500000             -0.781241             -0.694768
              1.413660           -108.867273              0.500000              0.500000             -0.776147             -0.692317
              1.433951           -108.856609              0.500000              0.500000             -0.771204             -0.689845
              1.454243           -108.846022              0.500000              0.500000             -0.766406             -0.687354
              1.474535           -108.835541              0.500000              0.500000             -0.761750             -0.684847
              1.494827           -108.825193              0.500000              0.500000             -0.757230             -0.682324
              1.515119           -108.815000              0.500000              0.500000             -0.752843             -0.679790
              1.535410           -108.804979              0.500000              0.500000             -0.748584             -0.677245
              1.555702           -108.795143              0.500000              0.500000             -0.744450             -0.674691
              1.575994           -108.785505              0.500000              0.500000             -0.740435             -0.672131
              1.596286           -108.776072              0.500000              0.500000             -0.736537             -0.669565
              1.616577           -108.766851              0.500000              0.500000             -0.732752             -0.666997
              1.636869           -108.757847              0.500000              0.500000             -0.729075             -0.664427
              1.657161           -108.749062              0.500000              0.500000             -0.725504             -0.661856
