            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [N atom]              [O atom]             [Hartree]             [Hartree]
              0.634356           -127.632306              0.562786              0.437216             -0.898785             -0.177379
              0.653775           -127.922494              0.552914              0.447087             -0.902524             -0.194482
              0.673194           -128.174714              0.543093              0.456907             -0.905894             -0.211933
              0.692613           -128.393629              0.533324              0.466676             -0.908910             -0.229535
              0.712032           -128.583329              0.523611              0.476387             -0.911590             -0.247133
              0.731451           -128.747390              0.513962              0.486036             -0.913955             -0.264599
              0.750870           -128.888949              0.504389              0.495610             -0.916024             -0.281833
              0.770289           -129.010753              0.494903              0.505096             -0.917816             -0.298752
              0.789708           -129.115212              0.485520              0.514480             -0.919348             -0.315293
              0.809127           -129.204441              0.476256              0.523745             -0.920636             -0.331405
              0.828546           -129.280299              0.467127              0.532874             -0.921695             -0.347050
              0.847965           -129.344419              0.458151              0.541850             -0.922537             -0.362199
              0.867384           -129.398238              0.449344              0.550656             -0.923173             -0.376833
              0.886803           -129.443022              0.440725              0.559276             -0.923613             -0.390938
              0.906222           -129.479884              0.432307              0.567694             -0.923866             -0.404506
              0.925641           -129.509809              0.424105              0.575895             -0.923939             -0.417536
              0.945060           -129.533660              0.416133              0.583867             -0.923837             -0.430029
              0.964479           -129.552204              0.408403              0.591597             -0.923567             -0.441990
              0.983898           -129.566115              0.400925              0.599075             -0.923134             -0.453426
              1.003317           -129.575990              0.393707              0.606293             -0.922540             -0.464346
              1.022736           -129.582354              0.386757              0.613243             -0.921791             -0.474762
              1.042155           -129.585675              0.380081              0.619918             -0.920890             -0.484685
              1.061575           -129.586364              0.373683              0.626317             -0.919840             -0.494131
              1.080994           -129.584784              0.367566              0.632433             -0.918645             -0.503113
              1.100413           -129.581258              0.361732              0.638267             -0.917307             -0.511644
              1.119832           -129.576068              0.356183              0.643817             -0.915831             -0.519742
              1.139251           -129.569467              0.350916              0.649083             -0.914220             -0.527420
              1.158670           -129.561674              0.345933              0.654066             -0.912479             -0.534696
              1.178089           -129.552884              0.341230              0.658770             -0.910611             -0.541583
              1.197508           -129.543268              0.336804              0.663195             -0.908622             -0.548099
              1.216927           -129.532974              0.332652              0.667347             -0.906516             -0.554258
              1.236346           -129.522134              0.328770              0.671230             -0.904299             -0.560077
              1.255765           -129.510862              0.325151              0.674848             -0.898746             -0.565570
              1.275184           -129.499256              0.321791              0.678209             -0.891313             -0.570753
              1.294603           -129.487403              0.318682              0.681318             -0.884120             -0.575640
              1.314022           -129.475378              0.315816              0.684184             -0.877161             -0.580245
              1.333441           -129.463243              0.313186              0.686814             -0.870429             -0.584583
              1.352860           -129.451054              0.310783              0.689217             -0.863919             -0.588667
              1.372279           -129.438858              0.308598              0.691403             -0.857625             -0.592509
              1.391698           -129.426693              0.306621              0.693379             -0.851540             -0.596124
              1.411117           -129.414595              0.304844              0.695156             -0.845659             -0.599522
              1.430536           -129.402590              0.303257              0.696744             -0.839975             -0.602715
              1.449955           -129.390704              0.301848              0.698152             -0.834484             -0.605714
              1.469375           -129.378955              0.300610              0.699391             -0.829179             -0.608530
              1.488794           -129.367360              0.299532              0.700469             -0.824054             -0.611172
              1.508213           -129.355933              0.298604              0.701397             -0.819105             -0.613650
              1.527632           -129.344685              0.297818              0.702183             -0.814324             -0.615972
              1.547051           -129.333625              0.297161              0.702840             -0.809706             -0.618147
              1.566470           -129.322759              0.296632              0.703370             -0.805246             -0.620183
              1.585889           -129.312094              0.296216              0.703785             -0.800937             -0.622088
