            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [C atom]              [C atom]             [Hartree]             [Hartree]
              0.781085            -75.073449              0.000001              0.000001             -0.363316             -0.158157
              0.804996            -75.207678              0.000000              0.000000             -0.366935             -0.163904
              0.828907            -75.324255              0.000000              0.000000             -0.369872             -0.169766
              0.852818            -75.425092             -0.000000             -0.000000             -0.372302             -0.175692
              0.876728            -75.511925             -0.000000             -0.000000             -0.374352             -0.181642
              0.900639            -75.586333             -0.000000             -0.000000             -0.376112             -0.187589
              0.924550            -75.649727             -0.000000             -0.000000             -0.369764             -0.193512
              0.948461            -75.626545             -0.000000             -0.000000             -0.302590             -0.295069
              0.972371            -75.683439             -0.000000             -0.000000             -0.307088             -0.288125
              0.996282            -75.732249             -0.000000             -0.000000             -0.311560             -0.281631
              1.020193            -75.773912              0.000000              0.000000             -0.316001             -0.275539
              1.044104            -75.809260              0.000000              0.000000             -0.320410             -0.269812
              1.068015            -75.839033              0.000000              0.000000             -0.324786             -0.264415
              1.091925            -75.863887              0.000000              0.000000             -0.329130             -0.259318
              1.115836            -75.884408              0.000000              0.000000             -0.333442             -0.254495
              1.139747            -75.901113              0.000000              0.000000             -0.337724             -0.249924
              1.163658            -75.914463              0.000000              0.000000             -0.341976             -0.245582
              1.187568            -75.924866              0.000000              0.000000             -0.341407             -0.241454
              1.211479            -75.932687              0.000000              0.000000             -0.336580             -0.237521
              1.235390            -75.938247              0.000000              0.000000             -0.331968             -0.233771
              1.259301            -75.941834              0.000000              0.000000             -0.327557             -0.230189
              1.283212            -75.943703              0.000000              0.000000             -0.323333             -0.226764
              1.307122            -75.944081             -0.000000             -0.000000             -0.319283             -0.223485
              1.331033            -75.943170             -0.000000             -0.000000             -0.315397             -0.220343
              1.354944            -75.941149             -0.000000             -0.000000             -0.311665             -0.217329
              1.378855            -75.938177             -0.000000             -0.000000             -0.308076             -0.214434
              1.402765            -75.934397             -0.000000             -0.000000             -0.304624             -0.211651
              1.426676            -75.929933             -0.000000             -0.000000             -0.301299             -0.208974
              1.450587            -75.924897             -0.000000             -0.000000             -0.298096             -0.206857
              1.474498            -75.919387             -0.000000             -0.000000             -0.295007             -0.206311
              1.498408            -75.913490             -0.000000             -0.000000             -0.292027             -0.205734
              1.522319            -75.907281             -0.000000             -0.000000             -0.289150             -0.205126
              1.546230            -75.900829             -0.000000             -0.000000             -0.286372             -0.204489
              1.570141            -75.894192             -0.000000             -0.000000             -0.283688             -0.203822
              1.594052            -75.887420             -0.000000             -0.000000             -0.281094             -0.203127
              1.617962            -75.880560             -0.000000             -0.000000             -0.278586             -0.202405
              1.641873            -75.873648             -0.000000             -0.000000             -0.276160             -0.201659
              1.665784            -75.866717             -0.000000             -0.000000             -0.273815             -0.200889
              1.689695            -75.859797             -0.000000             -0.000000             -0.271545             -0.200098
              1.713605            -75.852912             -0.000000             -0.000000             -0.269350             -0.199287
              1.737516            -75.846081              0.000000              0.000000             -0.267226             -0.198458
              1.761427            -75.839321              0.000000              0.000000             -0.265171             -0.197612
              1.785338            -75.832648              0.000000              0.000000             -0.263183             -0.196753
              1.809249            -75.826072              0.000000              0.000000             -0.261260             -0.195880
              1.833159            -75.819603              0.000000              0.000000             -0.259399             -0.194996
              1.857070            -75.813248              0.000000              0.000000             -0.257598             -0.194102
              1.880981            -75.807014              0.000000              0.000000             -0.255856             -0.193200
              1.904892            -75.800905              0.000000              0.000000             -0.254170             -0.192291
              1.928802            -75.794924              0.000000              0.000000             -0.252540             -0.191376
              1.952713            -75.789073              0.000000              0.000000             -0.250962             -0.190456
