            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [C atom]              [N atom]             [Hartree]             [Hartree]
              0.581391            -89.596110              0.169871             -0.169872             -0.276020             -0.163969
              0.616987            -90.241992              0.600612             -0.600613             -0.278689             -0.188991
              0.652582            -90.779353              0.636375             -0.636375             -0.299541             -0.199468
              0.688178            -91.214395              0.617923             -0.617922             -0.317703             -0.207984
              0.723773            -91.563910              0.605369             -0.605367             -0.331018             -0.214572
              0.759368            -91.843492              0.584347             -0.584347             -0.342102             -0.220504
              0.794964            -92.066064              0.553843             -0.553844             -0.352247             -0.226085
              0.830559            -92.242170              0.517066             -0.517067             -0.361979             -0.231083
              0.866155            -92.380411              0.478014             -0.478014             -0.371433             -0.235441
              0.901750            -92.487775              0.439834             -0.439834             -0.380590             -0.239115
              0.937345            -92.569973              0.404318             -0.404318             -0.389411             -0.242172
              0.972941            -92.631679              0.372155             -0.372155             -0.397883             -0.244736
              1.008536            -92.676722              0.343419             -0.343418             -0.403684             -0.246920
              1.044131            -92.708253              0.317909             -0.317909             -0.407126             -0.248804
              1.079727            -92.728864              0.295342             -0.295342             -0.405114             -0.250437
              1.115322            -92.740687              0.275433             -0.275433             -0.396992             -0.251846
              1.150918            -92.745481              0.257921             -0.257921             -0.389406             -0.253039
              1.186513            -92.744698              0.242587             -0.242587             -0.382299             -0.254016
              1.222108            -92.739535              0.229245             -0.229245             -0.375622             -0.254767
              1.257704            -92.730978              0.217737             -0.217737             -0.369327             -0.255282
              1.293299            -92.719840              0.207924             -0.207924             -0.363370             -0.255548
              1.328895            -92.706786              0.199673             -0.199674             -0.357714             -0.255558
              1.364490            -92.692361              0.192851             -0.192852             -0.352325             -0.255309
              1.400085            -92.677006              0.187315             -0.187316             -0.347174             -0.254806
              1.435681            -92.661075              0.182913             -0.182914             -0.342236             -0.254061
              1.471276            -92.644852              0.179481             -0.179481             -0.337484             -0.253092
              1.506872            -92.628558              0.176769             -0.176769             -0.332767             -0.251934
              1.542467            -92.612367              0.175065             -0.175065             -0.328811             -0.250545
              1.578062            -92.596411              0.173608             -0.173608             -0.324543             -0.249051
              1.613658            -92.580789              0.172574             -0.172574             -0.320517             -0.247425
              1.649253            -92.565571              0.171826             -0.171825             -0.316672             -0.245696
              1.684849            -92.550809              0.171266             -0.171265             -0.312997             -0.243887
              1.720444            -92.536535              0.170818             -0.170817             -0.309487             -0.242016
              1.756039            -92.522770              0.170426             -0.170425             -0.306138             -0.240100
              1.791635            -92.509522              0.170044             -0.170044             -0.302944             -0.238152
              1.827230            -92.496796              0.169644             -0.169643             -0.299902             -0.236184
              1.862825            -92.484585              0.169198             -0.169198             -0.297006             -0.234207
              1.898421            -92.472883              0.168702             -0.168701             -0.294249             -0.232227
              1.934016            -92.461678              0.168143             -0.168142             -0.291627             -0.230253
              1.969612            -92.450957              0.167516             -0.167516             -0.289132             -0.228291
              2.005207            -92.440705              0.166824             -0.166823             -0.286759             -0.226347
              2.040802            -92.430906              0.166068             -0.166068             -0.284501             -0.224425
              2.076398            -92.421544              0.165243             -0.165243             -0.282351             -0.222531
              2.111993            -92.412602              0.164364             -0.164364             -0.280304             -0.220669
              2.147589            -92.404064              0.163419             -0.163420             -0.278355             -0.218844
              2.183184            -92.395914              0.162412             -0.162412             -0.276495             -0.217061
              2.218779            -92.388136              0.161343             -0.161343             -0.274722             -0.215323
              2.254375            -92.380715              0.160197             -0.160198             -0.273027             -0.213637
              2.289970            -92.373638              0.158967             -0.158969             -0.271407             -0.212010
              2.325566            -92.366890              0.157633             -0.157634             -0.269853             -0.210452
