            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [C atom]              [O atom]             [Hartree]             [Hartree]
              0.675678           -111.783615              0.173604             -0.173603             -0.321988              0.137840
              0.696362           -112.015621              0.157860             -0.157861             -0.325632              0.134447
              0.717046           -112.217589              0.142170             -0.142171             -0.329162              0.130226
              0.737730           -112.393153              0.126546             -0.126548             -0.332586              0.125181
              0.758414           -112.545508              0.111004             -0.111006             -0.335914              0.119341
              0.779098           -112.677463              0.095558             -0.095560             -0.339156              0.112758
              0.799782           -112.791481              0.080224             -0.080225             -0.342319              0.105506
              0.820466           -112.889729              0.065017             -0.065017             -0.345413              0.097674
              0.841150           -112.974108              0.049954             -0.049953             -0.348441              0.089361
              0.861834           -113.046291              0.035052             -0.035051             -0.351409              0.080666
              0.882518           -113.107747              0.020328             -0.020327             -0.354320              0.071686
              0.903202           -113.159771              0.005797             -0.005797             -0.357175              0.062511
              0.923886           -113.203503             -0.008523              0.008524             -0.359973              0.053222
              0.944570           -113.239949             -0.022619              0.022619             -0.362713              0.043889
              0.965255           -113.269997             -0.036475              0.036475             -0.365393              0.034573
              0.985939           -113.294426             -0.050077              0.050077             -0.368007              0.025325
              1.006623           -113.313930             -0.063412              0.063412             -0.370551              0.016187
              1.027307           -113.329119             -0.076468              0.076467             -0.373019              0.007193
              1.047991           -113.340533             -0.089231              0.089231             -0.375405             -0.001630
              1.068675           -113.348650             -0.101692              0.101691             -0.377701             -0.010260
              1.089359           -113.353890             -0.113838              0.113837             -0.379899             -0.018681
              1.110043           -113.356628             -0.125660              0.125659             -0.381992             -0.026880
              1.130727           -113.357194             -0.137147              0.137147             -0.383970             -0.034849
              1.151411           -113.355878             -0.148292              0.148291             -0.385826             -0.042581
              1.172095           -113.352939             -0.159085              0.159084             -0.387551             -0.050074
              1.192779           -113.348606             -0.169519              0.169518             -0.389137             -0.057326
              1.213463           -113.343079             -0.179587              0.179586             -0.390577             -0.064338
              1.234147           -113.336536             -0.189283              0.189282             -0.391864             -0.071110
              1.254831           -113.329136             -0.198601              0.198601             -0.392991             -0.077646
              1.275515           -113.321016             -0.207537              0.207537             -0.393956             -0.083950
              1.296199           -113.312298             -0.216090              0.216090             -0.394753             -0.090026
              1.316883           -113.303091             -0.224255              0.224255             -0.395380             -0.095879
              1.337567           -113.293489             -0.232034              0.232034             -0.395838             -0.101514
              1.358251           -113.283575             -0.239426              0.239426             -0.396126             -0.106939
              1.378935           -113.273421             -0.246434              0.246434             -0.396246             -0.112158
              1.399619           -113.263092             -0.253061              0.253061             -0.396201             -0.117180
              1.420303           -113.252642             -0.259311              0.259312             -0.395996             -0.122009
              1.440987           -113.242119             -0.265192              0.265192             -0.395636             -0.126652
              1.461671           -113.231565             -0.270708              0.270709             -0.391897             -0.131117
              1.482355           -113.221016             -0.275869              0.275870             -0.387705             -0.135410
              1.503039           -113.210502             -0.280684              0.280684             -0.383656             -0.139537
              1.523723           -113.200049             -0.285161              0.285162             -0.379747             -0.143504
              1.544407           -113.189679             -0.289311              0.289312             -0.375975             -0.147318
              1.565091           -113.179411             -0.293146              0.293147             -0.372336             -0.150985
              1.585775           -113.169261             -0.296677              0.296678             -0.368827             -0.154511
              1.606459           -113.159242             -0.299915              0.299916             -0.365446             -0.157900
              1.627143           -113.149364             -0.302874              0.302875             -0.362189             -0.161159
              1.647827           -113.139636             -0.305564              0.305565             -0.359051             -0.164293
              1.668511           -113.130066             -0.308000              0.308000             -0.356031             -0.167307
              1.689195           -113.120658             -0.310192              0.310193             -0.353124             -0.170205
