            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [H atom]              [C atom]             [Hartree]             [Hartree]
              0.674220            -38.210681             -0.135816              0.135816             -0.264017             -0.151931
              0.694860            -38.250624             -0.139177              0.139177             -0.263311             -0.151371
              0.715499            -38.285735             -0.141853              0.141853             -0.262664             -0.150853
              0.736138            -38.316567             -0.143856              0.143856             -0.262075             -0.150376
              0.756778            -38.343604             -0.145201              0.145201             -0.261540             -0.149937
              0.777417            -38.367268             -0.145907              0.145907             -0.261058             -0.149536
              0.798056            -38.387938             -0.145996              0.145996             -0.260627             -0.149172
              0.818696            -38.405946             -0.145494              0.145494             -0.260245             -0.148843
              0.839335            -38.421583             -0.144427              0.144427             -0.259911             -0.148548
              0.859975            -38.435111             -0.142824              0.142824             -0.259625             -0.148288
              0.880614            -38.446759             -0.140715              0.140715             -0.259383             -0.148062
              0.901253            -38.456733             -0.138132              0.138132             -0.259187             -0.147868
              0.921893            -38.465215             -0.135108              0.135108             -0.259034             -0.147707
              0.942532            -38.472366             -0.131680              0.131680             -0.258924             -0.147578
              0.963172            -38.478331             -0.127882              0.127882             -0.258856             -0.147482
              0.983811            -38.483238             -0.123753              0.123753             -0.258828             -0.147416
              1.004450            -38.487203             -0.119329              0.119329             -0.258841             -0.147382
              1.025090            -38.490329             -0.114649              0.114649             -0.258893             -0.147379
              1.045729            -38.492706             -0.109751              0.109751             -0.258983             -0.147406
              1.066369            -38.494417             -0.104668              0.104668             -0.259111             -0.147463
              1.087008            -38.495536             -0.099437              0.099437             -0.259276             -0.147550
              1.107647            -38.496128             -0.094089              0.094089             -0.259476             -0.147667
              1.128287            -38.496252             -0.088654              0.088654             -0.259712             -0.147812
              1.148926            -38.495962             -0.083158              0.083158             -0.259982             -0.147986
              1.169566            -38.495304             -0.077626              0.077626             -0.260286             -0.148188
              1.190205            -38.494321             -0.072079              0.072079             -0.260622             -0.148418
              1.210844            -38.493052             -0.066534              0.066534             -0.260990             -0.148675
              1.231484            -38.491529             -0.061008              0.061008             -0.261389             -0.148959
              1.252123            -38.489786             -0.055513              0.055513             -0.261817             -0.149268
              1.272763            -38.487848             -0.050062              0.050061             -0.262275             -0.149603
              1.293402            -38.485740             -0.044663              0.044663             -0.262759             -0.149963
              1.314041            -38.483486             -0.039325              0.039325             -0.263270             -0.150346
              1.334681            -38.481105             -0.034056              0.034056             -0.263806             -0.150751
              1.355320            -38.478615             -0.028861              0.028861             -0.264365             -0.151178
              1.375959            -38.476032             -0.023746              0.023746             -0.264946             -0.151626
              1.396599            -38.473370             -0.018716              0.018716             -0.265548             -0.152093
              1.417238            -38.470644             -0.013775              0.013775             -0.266169             -0.152578
              1.437878            -38.467863             -0.008927              0.008927             -0.266807             -0.153081
              1.458517            -38.465040             -0.004176              0.004176             -0.267462             -0.153600
              1.479156            -38.462182              0.000476             -0.000476             -0.268132             -0.154133
              1.499796            -38.459299              0.005026             -0.005026             -0.268814             -0.154681
              1.520435            -38.456398              0.009471             -0.009471             -0.269509             -0.155241
              1.541075            -38.453486              0.013808             -0.013808             -0.270214             -0.155814
              1.561714            -38.450569              0.018036             -0.018036             -0.270928             -0.156397
              1.582353            -38.447652              0.022152             -0.022152             -0.271650             -0.156989
              1.602993            -38.444740              0.026155             -0.026154             -0.272379             -0.157591
              1.623632            -38.441838              0.030041             -0.030041             -0.273112             -0.158201
              1.644272            -38.438950              0.033808             -0.033808             -0.273849             -0.158817
              1.664911            -38.436080              0.037454             -0.037454             -0.274588             -0.159440
              1.685550            -38.433231              0.040972             -0.040972             -0.275327             -0.160067
