            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [H atom]              [H atom]             [Hartree]             [Hartree]
              0.445719             -1.053734              0.000000              0.000000             -0.510069              0.103436
              0.459363             -1.069864              0.000000              0.000000             -0.505874              0.101982
              0.473008             -1.084287              0.000000              0.000000             -0.501753              0.100483
              0.486652             -1.097169             -0.000000             -0.000000             -0.497704              0.098930
              0.500297             -1.108662             -0.000000             -0.000000             -0.493727              0.097318
              0.513941             -1.118898             -0.000000             -0.000000             -0.489822              0.095639
              0.527586             -1.127995             -0.000000             -0.000000             -0.485987              0.093892
              0.541230             -1.136060             -0.000000             -0.000000             -0.482223              0.092073
              0.554875             -1.143187             -0.000000             -0.000000             -0.478527              0.090184
              0.568519             -1.149461             -0.000000             -0.000000             -0.474899              0.088225
              0.582164             -1.154958             -0.000000             -0.000000             -0.471338              0.086197
              0.595808             -1.159748             -0.000000             -0.000000             -0.467843              0.084105
              0.609453             -1.163893             -0.000000             -0.000000             -0.464414              0.081950
              0.623097             -1.167448              0.000000              0.000000             -0.461048              0.079736
              0.636741             -1.170465              0.000000              0.000000             -0.457746              0.077464
              0.650386             -1.172991              0.000000              0.000000             -0.454505              0.075139
              0.664030             -1.175067              0.000000              0.000000             -0.451326              0.072762
              0.677675             -1.176731              0.000000              0.000000             -0.448206              0.070335
              0.691319             -1.178018              0.000000              0.000000             -0.445145              0.067861
              0.704964             -1.178960              0.000000              0.000000             -0.442142              0.065341
              0.718608             -1.179586              0.000000              0.000000             -0.439195              0.062777
              0.732253             -1.179923              0.000000              0.000000             -0.436304              0.060170
              0.745897             -1.179994              0.000000              0.000000             -0.433468              0.057524
              0.759542             -1.179822              0.000000              0.000000             -0.430684              0.054838
              0.773186             -1.179428              0.000000              0.000000             -0.427953              0.052115
              0.786830             -1.178829              0.000000              0.000000             -0.425274              0.049356
              0.800475             -1.178044             -0.000000             -0.000000             -0.422644              0.046563
              0.814119             -1.177087             -0.000000             -0.000000             -0.420064              0.043738
              0.827764             -1.175974             -0.000000             -0.000000             -0.417531              0.040882
              0.841408             -1.174718             -0.000000             -0.000000             -0.415046              0.037998
              0.855053             -1.173331             -0.000000             -0.000000             -0.412607              0.035087
              0.868697             -1.171825             -0.000000             -0.000000             -0.410213              0.032152
              0.882342             -1.170210             -0.000000             -0.000000             -0.407863              0.029193
              0.895986             -1.168495             -0.000000             -0.000000             -0.405556              0.026215
              0.909631             -1.166690             -0.000000             -0.000000             -0.403292              0.023218
              0.923275             -1.164804             -0.000000             -0.000000             -0.401069              0.020205
              0.936920             -1.162843             -0.000000             -0.000000             -0.398886              0.017177
              0.950564             -1.160815             -0.000000             -0.000000             -0.396743              0.014137
              0.964208             -1.158726             -0.000000             -0.000000             -0.394639              0.011087
              0.977853             -1.156583              0.000000              0.000000             -0.392573              0.008030
              0.991497             -1.154391              0.000000              0.000000             -0.390545              0.004966
              1.005142             -1.152156              0.000000              0.000000             -0.388552              0.001898
              1.018786             -1.149882              0.000000              0.000000             -0.386596             -0.001171
              1.032431             -1.147574              0.000000              0.000000             -0.384674             -0.004240
              1.046075             -1.145235              0.000000              0.000000             -0.382786             -0.007308
              1.059720             -1.142871              0.000000              0.000000             -0.380932             -0.010371
              1.073364             -1.140485              0.000000              0.000000             -0.379110             -0.013429
              1.087009             -1.138079              0.000000              0.000000             -0.377321             -0.016479
              1.100653             -1.135657              0.000000              0.000000             -0.375562             -0.019520
              1.114297             -1.133222              0.000000              0.000000             -0.373835             -0.022550
