            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [N atom]              [N atom]             [Hartree]             [Hartree]
              0.654796           -107.772645              0.000001              0.000001             -0.409391              0.224857
              0.674841           -108.034233              0.000001              0.000001             -0.417475              0.214391
              0.694886           -108.262621              0.000001              0.000001             -0.425436              0.203453
              0.714930           -108.461691              0.000000              0.000000             -0.433253              0.192100
              0.734975           -108.634908             -0.000000             -0.000000             -0.440917              0.180394
              0.755020           -108.785304             -0.000000             -0.000000             -0.448422              0.168400
              0.775065           -108.915565             -0.000001             -0.000001             -0.450149              0.156186
              0.795109           -109.028059             -0.000001             -0.000001             -0.449282              0.143819
              0.815154           -109.124890             -0.000000             -0.000000             -0.448320              0.131363
              0.835199           -109.207899             -0.000000             -0.000000             -0.447301              0.118878
              0.855244           -109.278720             -0.000000             -0.000000             -0.446253              0.106423
              0.875289           -109.338792              0.000000              0.000000             -0.445194              0.094048
              0.895333           -109.389387              0.000000              0.000000             -0.444138              0.081800
              0.915378           -109.431638              0.000000              0.000000             -0.443092              0.069718
              0.935423           -109.466536              0.000000              0.000000             -0.442063              0.057838
              0.955468           -109.494964              0.000000              0.000000             -0.441052              0.046189
              0.975512           -109.517702              0.000000              0.000000             -0.440059              0.034797
              0.995557           -109.535443              0.000000              0.000000             -0.439084              0.023681
              1.015602           -109.548799              0.000000              0.000000             -0.438124              0.012857
              1.035647           -109.558312              0.000000              0.000000             -0.437175              0.002336
              1.055691           -109.564466              0.000000              0.000000             -0.436235             -0.007870
              1.075736           -109.567688              0.000000              0.000000             -0.435298             -0.017758
              1.095781           -109.568357              0.000000              0.000000             -0.434360             -0.027324
              1.115826           -109.566811             -0.000000             -0.000000             -0.433417             -0.036566
              1.135871           -109.563350             -0.000000             -0.000000             -0.432464             -0.045485
              1.155915           -109.558240             -0.000000             -0.000000             -0.431496             -0.054083
              1.175960           -109.551716             -0.000000             -0.000000             -0.430510             -0.062364
              1.196005           -109.543988             -0.000000             -0.000000             -0.429501             -0.070332
              1.216050           -109.535243             -0.000000             -0.000000             -0.428467             -0.077994
              1.236094           -109.525645             -0.000000             -0.000000             -0.427403             -0.085355
              1.256139           -109.515339             -0.000000             -0.000000             -0.425489             -0.092422
              1.276184           -109.504454             -0.000000             -0.000000             -0.420737             -0.099204
              1.296229           -109.493103             -0.000000             -0.000000             -0.416143             -0.105708
              1.316274           -109.481386             -0.000000             -0.000000             -0.411702             -0.111942
              1.336318           -109.469390             -0.000000             -0.000000             -0.407409             -0.117916
              1.356363           -109.457189             -0.000000             -0.000000             -0.403258             -0.123637
              1.376408           -109.444851             -0.000000             -0.000000             -0.399246             -0.129115
              1.396453           -109.432434             -0.000000             -0.000000             -0.395368             -0.134359
              1.416497           -109.419986             -0.000000             -0.000000             -0.391620             -0.139378
              1.436542           -109.407549             -0.000000             -0.000000             -0.387999             -0.144180
              1.456587           -109.395161              0.000000              0.000000             -0.384501             -0.148774
              1.476632           -109.382852              0.000000              0.000000             -0.381122             -0.153170
              1.496677           -109.370648              0.000000              0.000000             -0.377859             -0.157374
              1.516721           -109.358573              0.000000              0.000000             -0.374710             -0.161396
              1.536766           -109.346642              0.000000              0.000000             -0.371670             -0.165244
              1.556811           -109.334872              0.000000              0.000000             -0.368737             -0.168925
              1.576856           -109.323276              0.000000              0.000000             -0.365908             -0.172446
              1.596900           -109.311863              0.000000              0.000000             -0.363179             -0.175816
              1.616945           -109.300642              0.000000              0.000000             -0.360548             -0.179040
              1.636990           -109.289618              0.000000              0.000000             -0.358012             -0.182126
