            separation          total energy        partial charge        partial charge                  HOMO                  LUMO
            [Angstrom]             [Hartree]              [N atom]              [O atom]             [Hartree]             [Hartree]
              0.572976           -126.411612             -0.755852              0.755852              0.108952              0.189892
              0.608056           -127.198383             -0.628373              0.628375              0.096155              0.179486
              0.643136           -127.820381             -0.511563              0.511564              0.078927              0.165128
              0.678217           -128.311610             -0.414961              0.414961              0.058578              0.147916
              0.713297           -128.698941             -0.338044              0.338042              0.036119              0.128652
              0.748377           -129.003625             -0.276860              0.276858              0.012381              0.108002
              0.783457           -129.242428             -0.227294              0.227294             -0.011939              0.086543
              0.818537           -129.428622             -0.186088              0.186088             -0.036280              0.064766
              0.853617           -129.572746             -0.150905              0.150906             -0.060204              0.043077
              0.888698           -129.683204             -0.120143              0.120144             -0.083389              0.021796
              0.923778           -129.766704             -0.092720              0.092720             -0.105610              0.001166
              0.958858           -129.828636             -0.067905              0.067905             -0.126722             -0.018644
              0.993938           -129.873329             -0.045205              0.045205             -0.146640             -0.037522
              1.029018           -129.904275             -0.024286              0.024286             -0.165328             -0.055400
              1.064098           -129.924294             -0.004919              0.004918             -0.182781             -0.072248
              1.099179           -129.935667              0.013057             -0.013058             -0.199020             -0.088064
              1.134259           -129.940238              0.029752             -0.029753             -0.214083             -0.102864
              1.169339           -129.939502              0.045250             -0.045251             -0.228017             -0.116680
              1.204419           -129.934662              0.059617             -0.059618             -0.240878             -0.129556
              1.239499           -129.926690              0.072914             -0.072915             -0.252726             -0.141544
              1.274579           -129.916362              0.085202             -0.085202             -0.263619             -0.152703
              1.309660           -129.904303              0.096546             -0.096546             -0.273609             -0.163100
              1.344740           -129.891014              0.107007             -0.107006             -0.282736             -0.172804
              1.379820           -129.876909              0.116532             -0.116532             -0.290973             -0.181837
              1.414900           -129.862404              0.123959             -0.123958             -0.297991             -0.189593
              1.449980           -129.848114              0.125577             -0.125576             -0.303100             -0.193565
              1.485060           -129.834604              0.123307             -0.123306             -0.306882             -0.194184
              1.520141           -129.822023              0.120581             -0.120580             -0.309966             -0.193383
              1.555221           -129.810349              0.118463             -0.118461             -0.312535             -0.191904
              1.590301           -129.799519              0.117198             -0.117197             -0.314651             -0.190039
              1.625381           -129.789465              0.116741             -0.116740             -0.316335             -0.187934
              1.660461           -129.780130              0.116898             -0.116897             -0.317589             -0.185675
              1.695541           -129.771471              0.117386             -0.117385             -0.318414             -0.183326
              1.730622           -129.763460              0.117866             -0.117866             -0.318821             -0.180941
              1.765702           -129.756089              0.117987             -0.117986             -0.318850             -0.178583
              1.800782           -129.749361              0.117447             -0.117447             -0.318579             -0.176325
              1.835862           -129.743276              0.116075             -0.116075             -0.318119             -0.174245
              1.870942           -129.737825              0.113856             -0.113857             -0.317591             -0.172408
              1.906022           -129.732979              0.110896             -0.110897             -0.317094             -0.170851
              1.941102           -129.728695              0.107353             -0.107354             -0.316692             -0.169579
              1.976183           -129.724920              0.103381             -0.103383             -0.316417             -0.168580
              2.011263           -129.721597              0.099113             -0.099114             -0.316281             -0.167829
              2.046343           -129.718673              0.094652             -0.094654             -0.316279             -0.167298
              2.081423           -129.716095              0.090080             -0.090082             -0.316403             -0.166959
              2.116503           -129.713820              0.085462             -0.085464             -0.316639             -0.166784
              2.151583           -129.711806              0.080847             -0.080849             -0.316971             -0.166749
              2.186664           -129.710020              0.076275             -0.076277             -0.317385             -0.166832
              2.221744           -129.708431              0.071779             -0.071781             -0.317865             -0.167012
              2.256824           -129.707014              0.067385             -0.067386             -0.318399             -0.167272
              2.291904           -129.705748              0.063113             -0.063114             -0.318974             -0.167596
