
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:52 2025
Timers Off: Fri Sep 19 23:13:53 2025

Wall Time:        1.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.031w      3 calls
DFH: initialize()                   :      0.317u      0.067s      0.038w      1 calls
DFH: AO Construction                :      0.150u      0.050s      0.009w      1 calls
DFH: AO-Met. Contraction            :      0.083u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.950u      0.200s      0.344w      8 calls
UV: Form V                          :      5.617u      0.200s      0.324w      8 calls
Properties                          :      2.167u      0.050s      0.118w   2056 calls
Functional                          :      1.233u      0.033s      0.069w   2056 calls
V_xc                                :      2.117u      0.100s      0.131w   2056 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w      8 calls
JK: JK                              :      0.217u      0.000s      0.016w      8 calls
DFH: compute_JK()                   :      0.217u      0.000s      0.016w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.033u      0.000s      0.003w      8 calls
DFH: compute_K                      :      0.183u      0.000s      0.013w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.117u      3.350s      0.249w      8 calls
HF: Form C                          :      0.033u      0.017s      0.004w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.018w      1 calls
DFH: initialize()                   :      0.317u      0.067s      0.038w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      2 calls
| DFH: AO Construction              :      0.150u      0.050s      0.009w      1 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.950u      0.200s      0.344w      8 calls
| UV: Form V                        :      5.617u      0.200s      0.324w      8 calls
| | Properties                      :      2.167u      0.050s      0.118w   2056 calls
| | Functional                      :      1.233u      0.033s      0.069w   2056 calls
| | V_xc                            :      2.117u      0.100s      0.131w   2056 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w      8 calls
| JK: JK                            :      0.217u      0.000s      0.016w      8 calls
| | DFH: compute_JK()               :      0.217u      0.000s      0.016w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.003w      8 calls
| | | DFH: compute_K                :      0.183u      0.000s      0.013w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.117u      3.350s      0.249w      8 calls
HF: Form C                          :      0.033u      0.017s      0.004w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
