
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:53 2025
Timers Off: Fri Sep 19 23:13:55 2025

Wall Time:        1.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.031w      3 calls
DFH: initialize()                   :      0.217u      0.083s      0.034w      1 calls
DFH: AO Construction                :      0.033u      0.067s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.133u      0.017s      0.010w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.067u      0.133s      0.343w      8 calls
UV: Form V                          :      5.850u      0.133s      0.327w      8 calls
Properties                          :      2.350u      0.017s      0.117w   2056 calls
Functional                          :      1.417u      0.017s      0.074w   2056 calls
V_xc                                :      1.967u      0.083s      0.130w   2056 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.167u      0.000s      0.013w      8 calls
DFH: compute_JK()                   :      0.150u      0.000s      0.013w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.083u      0.000s      0.003w      8 calls
DFH: compute_K                      :      0.067u      0.000s      0.010w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      8 calls
HF: Form F                          :      0.017u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.167u      3.350s      0.251w      8 calls
HF: Form C                          :      0.033u      0.117s      0.010w      8 calls
HF: Form D                          :      0.000u      0.017s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.018w      1 calls
DFH: initialize()                   :      0.217u      0.083s      0.034w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      2 calls
| DFH: AO Construction              :      0.033u      0.067s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.133u      0.017s      0.010w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.067u      0.133s      0.343w      8 calls
| UV: Form V                        :      5.850u      0.133s      0.327w      8 calls
| | Properties                      :      2.350u      0.017s      0.117w   2056 calls
| | Functional                      :      1.417u      0.017s      0.074w   2056 calls
| | V_xc                            :      1.967u      0.083s      0.130w   2056 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.167u      0.000s      0.013w      8 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.013w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.083u      0.000s      0.003w      8 calls
| | | DFH: compute_K                :      0.067u      0.000s      0.010w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      8 calls
HF: Form F                          :      0.017u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.167u      3.350s      0.251w      8 calls
HF: Form C                          :      0.033u      0.117s      0.010w      8 calls
HF: Form D                          :      0.000u      0.017s      0.000w      8 calls

**************************************************************************************
