
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:14:11 2025
Timers Off: Fri Sep 19 23:14:12 2025

Wall Time:        1.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.029w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.038w      3 calls
DFH: initialize()                   :      0.933u      0.117s      0.087w      1 calls
DFH: AO Construction                :      0.050u      0.083s      0.008w      1 calls
DFH: AO-Met. Contraction            :      0.700u      0.033s      0.048w      1 calls
HF: Form core H                     :      0.000u      0.050s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.983u      0.117s      0.349w      8 calls
UV: Form V                          :      5.600u      0.100s      0.328w      8 calls
Properties                          :      2.150u      0.067s      0.115w   1872 calls
Functional                          :      1.033u      0.017s      0.063w   1872 calls
V_xc                                :      2.317u      0.017s      0.144w   1872 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.383u      0.000s      0.019w      8 calls
DFH: compute_JK()                   :      0.383u      0.000s      0.019w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.050u      0.000s      0.003w      8 calls
DFH: compute_K                      :      0.317u      0.000s      0.016w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.567u      2.717s      0.241w      8 calls
HF: Form C                          :      0.067u      0.000s      0.003w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.029w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.021w      1 calls
DFH: initialize()                   :      0.933u      0.117s      0.087w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.017w      2 calls
| DFH: AO Construction              :      0.050u      0.083s      0.008w      1 calls
| DFH: AO-Met. Contraction          :      0.700u      0.033s      0.048w      1 calls
HF: Form core H                     :      0.000u      0.050s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.983u      0.117s      0.349w      8 calls
| UV: Form V                        :      5.600u      0.100s      0.328w      8 calls
| | Properties                      :      2.150u      0.067s      0.115w   1872 calls
| | Functional                      :      1.033u      0.017s      0.063w   1872 calls
| | V_xc                            :      2.317u      0.017s      0.144w   1872 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.383u      0.000s      0.019w      8 calls
| | DFH: compute_JK()               :      0.383u      0.000s      0.019w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.003w      8 calls
| | | DFH: compute_K                :      0.317u      0.000s      0.016w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.567u      2.717s      0.241w      8 calls
HF: Form C                          :      0.067u      0.000s      0.003w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
