
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:14:12 2025
Timers Off: Fri Sep 19 23:14:14 2025

Wall Time:        1.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.031w      3 calls
DFH: initialize()                   :      0.667u      0.133s      0.067w      1 calls
DFH: AO Construction                :      0.133u      0.117s      0.014w      1 calls
DFH: AO-Met. Contraction            :      0.450u      0.017s      0.031w      1 calls
HF: Form core H                     :      0.000u      0.033s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      8.033u      0.150s      0.516w      8 calls
UV: Form V                          :      7.717u      0.133s      0.500w      8 calls
Properties                          :      3.550u      0.083s      0.212w   1872 calls
Functional                          :      1.000u      0.000s      0.067w   1872 calls
V_xc                                :      3.117u      0.033s      0.216w   1872 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w      8 calls
JK: JK                              :      0.233u      0.000s      0.013w      8 calls
DFH: compute_JK()                   :      0.233u      0.000s      0.013w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.033u      0.000s      0.003w      8 calls
DFH: compute_K                      :      0.200u      0.000s      0.010w      8 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      2.400u      1.700s      0.227w      8 calls
HF: Form C                          :      0.083u      0.000s      0.003w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.018w      1 calls
DFH: initialize()                   :      0.667u      0.133s      0.067w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      2 calls
| DFH: AO Construction              :      0.133u      0.117s      0.014w      1 calls
| DFH: AO-Met. Contraction          :      0.450u      0.017s      0.031w      1 calls
HF: Form core H                     :      0.000u      0.033s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      8.033u      0.150s      0.516w      8 calls
| UV: Form V                        :      7.717u      0.133s      0.500w      8 calls
| | Properties                      :      3.550u      0.083s      0.212w   1872 calls
| | Functional                      :      1.000u      0.000s      0.067w   1872 calls
| | V_xc                            :      3.117u      0.033s      0.216w   1872 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w      8 calls
| JK: JK                            :      0.233u      0.000s      0.013w      8 calls
| | DFH: compute_JK()               :      0.233u      0.000s      0.013w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.003w      8 calls
| | | DFH: compute_K                :      0.200u      0.000s      0.010w      8 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      2.400u      1.700s      0.227w      8 calls
HF: Form C                          :      0.083u      0.000s      0.003w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
