
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:14:14 2025
Timers Off: Fri Sep 19 23:14:15 2025

Wall Time:        1.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.017s      0.003w      1 calls
build grid                          :      0.000u      0.017s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.025w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.032w      3 calls
DFH: initialize()                   :      0.600u      0.050s      0.058w      1 calls
DFH: AO Construction                :      0.083u      0.017s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.450u      0.017s      0.031w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.767u      0.050s      0.387w      8 calls
UV: Form V                          :      6.333u      0.050s      0.367w      8 calls
Properties                          :      2.683u      0.033s      0.156w   1872 calls
Functional                          :      1.050u      0.000s      0.063w   1872 calls
V_xc                                :      2.583u      0.017s      0.143w   1872 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w      8 calls
JK: JK                              :      0.333u      0.000s      0.017w      8 calls
DFH: compute_JK()                   :      0.333u      0.000s      0.017w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.050u      0.000s      0.003w      8 calls
DFH: compute_K                      :      0.267u      0.000s      0.014w      8 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      2.867u      1.550s      0.271w      8 calls
HF: Form C                          :      0.017u      0.000s      0.003w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.017s      0.003w      1 calls
| build grid                        :      0.000u      0.017s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.025w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.018w      1 calls
DFH: initialize()                   :      0.600u      0.050s      0.058w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.014w      2 calls
| DFH: AO Construction              :      0.083u      0.017s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.450u      0.017s      0.031w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.767u      0.050s      0.387w      8 calls
| UV: Form V                        :      6.333u      0.050s      0.367w      8 calls
| | Properties                      :      2.683u      0.033s      0.156w   1872 calls
| | Functional                      :      1.050u      0.000s      0.063w   1872 calls
| | V_xc                            :      2.583u      0.017s      0.143w   1872 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w      8 calls
| JK: JK                            :      0.333u      0.000s      0.017w      8 calls
| | DFH: compute_JK()               :      0.333u      0.000s      0.017w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.003w      8 calls
| | | DFH: compute_K                :      0.267u      0.000s      0.014w      8 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      2.867u      1.550s      0.271w      8 calls
HF: Form C                          :      0.017u      0.000s      0.003w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
