
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:07 2025
Timers Off: Fri Sep 19 23:13:13 2025

Wall Time:        5.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.005w      3 calls
DFH: initialize()                   :      5.000u      1.117s      0.422w      1 calls
DFH: AO Construction                :      0.067u      0.000s      0.003w      1 calls
DFH: AO-Met. Contraction            :      2.467u      0.017s      0.169w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.017s      0.001w      1 calls
HF: Form G                          :     66.683u      1.050s      4.576w      7 calls
UV: Form V                          :     65.667u      1.017s      4.511w      7 calls
Properties                          :     24.433u      0.433s      1.671w   1652 calls
Functional                          :      1.417u      0.050s      0.073w   1652 calls
V_xc                                :     39.800u      0.533s      2.762w   1652 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.950u      0.017s      0.063w      7 calls
DFH: compute_JK()                   :      0.950u      0.017s      0.063w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.950u      0.017s      0.061w      7 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      3.383u      0.750s      0.287w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      5.000u      1.117s      0.422w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.067u      0.000s      0.003w      1 calls
| DFH: AO-Met. Contraction          :      2.467u      0.017s      0.169w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.017s      0.001w      1 calls
HF: Form G                          :     66.683u      1.050s      4.576w      7 calls
| UV: Form V                        :     65.667u      1.017s      4.511w      7 calls
| | Properties                      :     24.433u      0.433s      1.671w   1652 calls
| | Functional                      :      1.417u      0.050s      0.073w   1652 calls
| | V_xc                            :     39.800u      0.533s      2.762w   1652 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.950u      0.017s      0.063w      7 calls
| | DFH: compute_JK()               :      0.950u      0.017s      0.063w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.950u      0.017s      0.061w      7 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      3.383u      0.750s      0.287w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
