
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:13 2025
Timers Off: Fri Sep 19 23:13:19 2025

Wall Time:        5.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.005w      3 calls
DFH: initialize()                   :      5.100u      0.933s      0.416w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.002w      1 calls
DFH: AO-Met. Contraction            :      2.417u      0.000s      0.164w      1 calls
HF: Form core H                     :      0.000u      0.033s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.033s      0.003w      1 calls
HF: Guess                           :      0.000u      0.017s      0.000w      1 calls
HF: Form G                          :     66.200u      0.817s      4.559w      7 calls
UV: Form V                          :     65.367u      0.817s      4.503w      7 calls
Properties                          :     25.317u      0.450s      1.754w   1652 calls
Functional                          :      0.983u      0.033s      0.068w   1652 calls
V_xc                                :     38.933u      0.333s      2.676w   1652 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.783u      0.000s      0.054w      7 calls
DFH: compute_JK()                   :      0.783u      0.000s      0.054w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.017u      0.000s      0.001w      7 calls
DFH: compute_K                      :      0.767u      0.000s      0.053w      7 calls
JK: AO2USO                          :      0.050u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      2.467u      1.733s      0.306w      7 calls
HF: Form C                          :      0.050u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      5.100u      0.933s      0.416w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.017u      0.000s      0.002w      1 calls
| DFH: AO-Met. Contraction          :      2.417u      0.000s      0.164w      1 calls
HF: Form core H                     :      0.000u      0.033s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.033s      0.003w      1 calls
HF: Guess                           :      0.000u      0.017s      0.000w      1 calls
HF: Form G                          :     66.200u      0.817s      4.559w      7 calls
| UV: Form V                        :     65.367u      0.817s      4.503w      7 calls
| | Properties                      :     25.317u      0.450s      1.754w   1652 calls
| | Functional                      :      0.983u      0.033s      0.068w   1652 calls
| | V_xc                            :     38.933u      0.333s      2.676w   1652 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.783u      0.000s      0.054w      7 calls
| | DFH: compute_JK()               :      0.783u      0.000s      0.054w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.001w      7 calls
| | | DFH: compute_K                :      0.767u      0.000s      0.053w      7 calls
| JK: AO2USO                        :      0.050u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      2.467u      1.733s      0.306w      7 calls
HF: Form C                          :      0.050u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
