
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:12:55 2025
Timers Off: Fri Sep 19 23:13:00 2025

Wall Time:        5.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.017s      0.009w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.011w      3 calls
DFH: initialize()                   :      0.083u      0.117s      0.023w      1 calls
DFH: AO Construction                :      0.050u      0.117s      0.015w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     71.950u      0.583s      4.901w      6 calls
UV: Form V                          :     71.917u      0.583s      4.897w      6 calls
Properties                          :     27.817u      0.250s      1.885w   1464 calls
Functional                          :      1.100u      0.033s      0.077w   1464 calls
V_xc                                :     42.867u      0.300s      2.929w   1464 calls
JK: D                               :      0.000u      0.000s      0.000w      6 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      6 calls
JK: JK                              :      0.017u      0.000s      0.002w      6 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.002w      6 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      6 calls
DFH: compute_J                      :      0.017u      0.000s      0.001w      6 calls
DFH: compute_K                      :      0.000u      0.000s      0.001w      6 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      2.850u      1.167s      0.277w      6 calls
HF: Form C                          :      0.050u      0.000s      0.002w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.017s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w      1 calls
DFH: initialize()                   :      0.083u      0.117s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.050u      0.117s      0.015w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     71.950u      0.583s      4.901w      6 calls
| UV: Form V                        :     71.917u      0.583s      4.897w      6 calls
| | Properties                      :     27.817u      0.250s      1.885w   1464 calls
| | Functional                      :      1.100u      0.033s      0.077w   1464 calls
| | V_xc                            :     42.867u      0.300s      2.929w   1464 calls
| JK: D                             :      0.000u      0.000s      0.000w      6 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      6 calls
| JK: JK                            :      0.017u      0.000s      0.002w      6 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.002w      6 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      6 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.001w      6 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      6 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      2.850u      1.167s      0.277w      6 calls
HF: Form C                          :      0.050u      0.000s      0.002w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************
