
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:01 2025
Timers Off: Fri Sep 19 23:13:06 2025

Wall Time:        5.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.017s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.017u      0.017s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.009w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.011w      3 calls
DFH: initialize()                   :      0.050u      0.000s      0.012w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.004w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     72.600u      1.233s      5.010w      6 calls
UV: Form V                          :     72.567u      1.217s      5.005w      6 calls
Properties                          :     27.783u      0.617s      1.933w   1464 calls
Functional                          :      0.817u      0.033s      0.057w   1464 calls
V_xc                                :     43.883u      0.533s      3.008w   1464 calls
JK: D                               :      0.000u      0.000s      0.000w      6 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      6 calls
JK: JK                              :      0.033u      0.000s      0.003w      6 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.003w      6 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      6 calls
DFH: compute_J                      :      0.017u      0.000s      0.001w      6 calls
DFH: compute_K                      :      0.017u      0.000s      0.002w      6 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      3.183u      1.133s      0.295w      6 calls
HF: Form C                          :      0.033u      0.000s      0.001w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.017s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.017u      0.017s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w      1 calls
DFH: initialize()                   :      0.050u      0.000s      0.012w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.004w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     72.600u      1.233s      5.010w      6 calls
| UV: Form V                        :     72.567u      1.217s      5.005w      6 calls
| | Properties                      :     27.783u      0.617s      1.933w   1464 calls
| | Functional                      :      0.817u      0.033s      0.057w   1464 calls
| | V_xc                            :     43.883u      0.533s      3.008w   1464 calls
| JK: D                             :      0.000u      0.000s      0.000w      6 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      6 calls
| JK: JK                            :      0.033u      0.000s      0.003w      6 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.003w      6 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      6 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.001w      6 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.002w      6 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      3.183u      1.133s      0.295w      6 calls
HF: Form C                          :      0.033u      0.000s      0.001w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************
