
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:25 2025
Timers Off: Fri Sep 19 23:13:26 2025

Wall Time:        1.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.600u      0.017s      0.041w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.517u      0.017s      0.030w      1 calls
HF: Form core H                     :      0.000u      0.033s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.017s      0.000w      1 calls
HF: Form G                          :      5.067u      0.233s      0.302w      8 calls
UV: Form V                          :      4.950u      0.233s      0.296w      8 calls
Properties                          :      1.800u      0.100s      0.103w   1840 calls
Functional                          :      1.200u      0.017s      0.069w   1840 calls
V_xc                                :      1.933u      0.117s      0.119w   1840 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.083u      0.000s      0.004w      8 calls
DFH: compute_JK()                   :      0.083u      0.000s      0.004w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.033u      0.000s      0.001w      8 calls
DFH: compute_K                      :      0.033u      0.000s      0.003w      8 calls
JK: AO2USO                          :      0.033u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.033u      3.167s      0.234w      8 calls
HF: Form C                          :      0.033u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.600u      0.017s      0.041w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.517u      0.017s      0.030w      1 calls
HF: Form core H                     :      0.000u      0.033s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.017s      0.000w      1 calls
HF: Form G                          :      5.067u      0.233s      0.302w      8 calls
| UV: Form V                        :      4.950u      0.233s      0.296w      8 calls
| | Properties                      :      1.800u      0.100s      0.103w   1840 calls
| | Functional                      :      1.200u      0.017s      0.069w   1840 calls
| | V_xc                            :      1.933u      0.117s      0.119w   1840 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.083u      0.000s      0.004w      8 calls
| | DFH: compute_JK()               :      0.083u      0.000s      0.004w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.001w      8 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.003w      8 calls
| JK: AO2USO                        :      0.033u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.033u      3.167s      0.234w      8 calls
HF: Form C                          :      0.033u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
