
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:26 2025
Timers Off: Fri Sep 19 23:13:27 2025

Wall Time:        1.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.750u      0.017s      0.052w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.667u      0.017s      0.039w      1 calls
HF: Form core H                     :      0.083u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.400u      0.117s      0.313w      8 calls
UV: Form V                          :      5.283u      0.117s      0.307w      8 calls
Properties                          :      1.983u      0.033s      0.111w   1840 calls
Functional                          :      1.467u      0.033s      0.069w   1840 calls
V_xc                                :      1.733u      0.033s      0.121w   1840 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.117u      0.000s      0.005w      8 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.005w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.017u      0.000s      0.001w      8 calls
DFH: compute_K                      :      0.100u      0.000s      0.003w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.983u      3.100s      0.227w      8 calls
HF: Form C                          :      0.033u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.750u      0.017s      0.052w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.667u      0.017s      0.039w      1 calls
HF: Form core H                     :      0.083u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.400u      0.117s      0.313w      8 calls
| UV: Form V                        :      5.283u      0.117s      0.307w      8 calls
| | Properties                      :      1.983u      0.033s      0.111w   1840 calls
| | Functional                      :      1.467u      0.033s      0.069w   1840 calls
| | V_xc                            :      1.733u      0.033s      0.121w   1840 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.117u      0.000s      0.005w      8 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.005w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.001w      8 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.003w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.983u      3.100s      0.227w      8 calls
HF: Form C                          :      0.033u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
