
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:27 2025
Timers Off: Fri Sep 19 23:13:28 2025

Wall Time:        1.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.004w      3 calls
DFH: initialize()                   :      0.550u      0.083s      0.045w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.467u      0.000s      0.028w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.083u      0.067s      0.285w      8 calls
UV: Form V                          :      4.917u      0.067s      0.277w      8 calls
Properties                          :      1.800u      0.017s      0.094w   1840 calls
Functional                          :      1.400u      0.000s      0.067w   1840 calls
V_xc                                :      1.667u      0.050s      0.112w   1840 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w      8 calls
JK: JK                              :      0.117u      0.000s      0.005w      8 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.005w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.033u      0.000s      0.002w      8 calls
DFH: compute_K                      :      0.083u      0.000s      0.004w      8 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.000u      3.183s      0.233w      8 calls
HF: Form C                          :      0.050u      0.017s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.003w      1 calls
DFH: initialize()                   :      0.550u      0.083s      0.045w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.467u      0.000s      0.028w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.083u      0.067s      0.285w      8 calls
| UV: Form V                        :      4.917u      0.067s      0.277w      8 calls
| | Properties                      :      1.800u      0.017s      0.094w   1840 calls
| | Functional                      :      1.400u      0.000s      0.067w   1840 calls
| | V_xc                            :      1.667u      0.050s      0.112w   1840 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w      8 calls
| JK: JK                            :      0.117u      0.000s      0.005w      8 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.005w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.002w      8 calls
| | | DFH: compute_K                :      0.083u      0.000s      0.004w      8 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.000u      3.183s      0.233w      8 calls
HF: Form C                          :      0.050u      0.017s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
