
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:14:06 2025
Timers Off: Fri Sep 19 23:14:07 2025

Wall Time:        1.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.030w      3 calls
DFH: initialize()                   :      0.417u      0.117s      0.049w      1 calls
DFH: AO Construction                :      0.100u      0.100s      0.009w      1 calls
DFH: AO-Met. Contraction            :      0.250u      0.017s      0.018w      1 calls
HF: Form core H                     :      0.100u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.133u      0.083s      0.350w      9 calls
UV: Form V                          :      5.883u      0.083s      0.331w      9 calls
Properties                          :      2.400u      0.083s      0.120w   2106 calls
Functional                          :      1.267u      0.000s      0.071w   2106 calls
V_xc                                :      2.100u      0.000s      0.135w   2106 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.217u      0.000s      0.015w      9 calls
DFH: compute_JK()                   :      0.217u      0.000s      0.015w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.017u      0.000s      0.003w      9 calls
DFH: compute_K                      :      0.167u      0.000s      0.012w      9 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.250u      3.383s      0.256w      9 calls
HF: Form C                          :      0.033u      0.000s      0.003w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.017w      1 calls
DFH: initialize()                   :      0.417u      0.117s      0.049w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      2 calls
| DFH: AO Construction              :      0.100u      0.100s      0.009w      1 calls
| DFH: AO-Met. Contraction          :      0.250u      0.017s      0.018w      1 calls
HF: Form core H                     :      0.100u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.133u      0.083s      0.350w      9 calls
| UV: Form V                        :      5.883u      0.083s      0.331w      9 calls
| | Properties                      :      2.400u      0.083s      0.120w   2106 calls
| | Functional                      :      1.267u      0.000s      0.071w   2106 calls
| | V_xc                            :      2.100u      0.000s      0.135w   2106 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.217u      0.000s      0.015w      9 calls
| | DFH: compute_JK()               :      0.217u      0.000s      0.015w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.003w      9 calls
| | | DFH: compute_K                :      0.167u      0.000s      0.012w      9 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.250u      3.383s      0.256w      9 calls
HF: Form C                          :      0.033u      0.000s      0.003w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************
