
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:14:07 2025
Timers Off: Fri Sep 19 23:14:09 2025

Wall Time:        1.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.050u      0.033s      0.045w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.017s      0.052w      3 calls
DFH: initialize()                   :      1.050u      0.033s      0.090w      1 calls
DFH: AO Construction                :      0.133u      0.017s      0.009w      1 calls
DFH: AO-Met. Contraction            :      0.783u      0.017s      0.054w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.001w      1 calls
HF: Form G                          :     11.100u      0.150s      0.703w      9 calls
UV: Form V                          :     10.650u      0.150s      0.677w      9 calls
Properties                          :      4.717u      0.100s      0.307w   2106 calls
Functional                          :      1.433u      0.000s      0.077w   2106 calls
V_xc                                :      4.450u      0.017s      0.287w   2106 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.033u      0.000s      0.000w      9 calls
JK: JK                              :      0.383u      0.000s      0.023w      9 calls
DFH: compute_JK()                   :      0.383u      0.000s      0.023w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.050u      0.000s      0.003w      9 calls
DFH: compute_K                      :      0.333u      0.000s      0.019w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.400u      2.000s      0.196w      9 calls
HF: Form C                          :      0.033u      0.000s      0.002w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.050u      0.033s      0.045w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.035w      1 calls
DFH: initialize()                   :      1.050u      0.033s      0.090w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.017w      2 calls
| DFH: AO Construction              :      0.133u      0.017s      0.009w      1 calls
| DFH: AO-Met. Contraction          :      0.783u      0.017s      0.054w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.001w      1 calls
HF: Form G                          :     11.100u      0.150s      0.703w      9 calls
| UV: Form V                        :     10.650u      0.150s      0.677w      9 calls
| | Properties                      :      4.717u      0.100s      0.307w   2106 calls
| | Functional                      :      1.433u      0.000s      0.077w   2106 calls
| | V_xc                            :      4.450u      0.017s      0.287w   2106 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.033u      0.000s      0.000w      9 calls
| JK: JK                            :      0.383u      0.000s      0.023w      9 calls
| | DFH: compute_JK()               :      0.383u      0.000s      0.023w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.003w      9 calls
| | | DFH: compute_K                :      0.333u      0.000s      0.019w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.400u      2.000s      0.196w      9 calls
HF: Form C                          :      0.033u      0.000s      0.002w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************
