
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:14:09 2025
Timers Off: Fri Sep 19 23:14:11 2025

Wall Time:        1.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.026w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.017s      0.033w      3 calls
DFH: initialize()                   :      0.350u      0.033s      0.039w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.233u      0.017s      0.013w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     10.783u      0.250s      0.681w      9 calls
UV: Form V                          :     10.483u      0.217s      0.658w      9 calls
Properties                          :      4.283u      0.083s      0.252w   2106 calls
Functional                          :      1.233u      0.017s      0.075w   2106 calls
V_xc                                :      4.850u      0.067s      0.325w   2106 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.233u      0.033s      0.019w      9 calls
DFH: compute_JK()                   :      0.233u      0.033s      0.019w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.050u      0.000s      0.003w      9 calls
DFH: compute_K                      :      0.167u      0.033s      0.015w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      3.700u      0.817s      0.300w      9 calls
HF: Form C                          :      0.033u      0.000s      0.002w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.026w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.019w      1 calls
DFH: initialize()                   :      0.350u      0.033s      0.039w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.014w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.233u      0.017s      0.013w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     10.783u      0.250s      0.681w      9 calls
| UV: Form V                        :     10.483u      0.217s      0.658w      9 calls
| | Properties                      :      4.283u      0.083s      0.252w   2106 calls
| | Functional                      :      1.233u      0.017s      0.075w   2106 calls
| | V_xc                            :      4.850u      0.067s      0.325w   2106 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.233u      0.033s      0.019w      9 calls
| | DFH: compute_JK()               :      0.233u      0.033s      0.019w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.003w      9 calls
| | | DFH: compute_K                :      0.167u      0.033s      0.015w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      3.700u      0.817s      0.300w      9 calls
HF: Form C                          :      0.033u      0.000s      0.002w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************
