
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:12:25 2025
Timers Off: Fri Sep 19 23:12:26 2025

Wall Time:        1.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.004w      1 calls
build grid                          :      0.000u      0.000s      0.002w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.010w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.010w      3 calls
DFH: initialize()                   :      0.033u      0.000s      0.005w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.002w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.000w      1 calls
HF: Form G                          :      0.567u      0.067s      0.074w      4 calls
UV: Form V                          :      0.550u      0.050s      0.071w      4 calls
Properties                          :      0.100u      0.000s      0.018w    852 calls
Functional                          :      0.250u      0.033s      0.028w    852 calls
V_xc                                :      0.167u      0.017s      0.023w    852 calls
JK: D                               :      0.000u      0.000s      0.000w      4 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w      4 calls
JK: JK                              :      0.000u      0.000s      0.000w      4 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.000w      4 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      4 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      4 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      4 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      4 calls
HF: Form F                          :      0.000u      0.000s      0.000w      4 calls
HF: DIIS                            :      2.817u      0.250s      0.266w      4 calls
HF: Form C                          :      0.000u      0.000s      0.001w      4 calls
HF: Form D                          :      0.000u      0.000s      0.000w      4 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.004w      1 calls
| build grid                        :      0.000u      0.000s      0.002w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.009w      1 calls
DFH: initialize()                   :      0.033u      0.000s      0.005w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.002w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.000w      1 calls
HF: Form G                          :      0.567u      0.067s      0.074w      4 calls
| UV: Form V                        :      0.550u      0.050s      0.071w      4 calls
| | Properties                      :      0.100u      0.000s      0.018w    852 calls
| | Functional                      :      0.250u      0.033s      0.028w    852 calls
| | V_xc                            :      0.167u      0.017s      0.023w    852 calls
| JK: D                             :      0.000u      0.000s      0.000w      4 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w      4 calls
| JK: JK                            :      0.000u      0.000s      0.000w      4 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.000w      4 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      4 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      4 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      4 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      4 calls
HF: Form F                          :      0.000u      0.000s      0.000w      4 calls
HF: DIIS                            :      2.817u      0.250s      0.266w      4 calls
HF: Form C                          :      0.000u      0.000s      0.001w      4 calls
HF: Form D                          :      0.000u      0.000s      0.000w      4 calls

**************************************************************************************
