
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:12:31 2025
Timers Off: Fri Sep 19 23:12:36 2025

Wall Time:        5.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.022w      3 calls
DFH: initialize()                   :      0.067u      0.000s      0.011w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.003w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     59.783u      0.667s      4.264w      6 calls
UV: Form V                          :     59.767u      0.667s      4.260w      6 calls
Properties                          :     23.450u      0.317s      1.702w   1560 calls
Functional                          :      1.150u      0.050s      0.065w   1560 calls
V_xc                                :     35.100u      0.283s      2.489w   1560 calls
JK: D                               :      0.000u      0.000s      0.000w      6 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      6 calls
JK: JK                              :      0.017u      0.000s      0.002w      6 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.002w      6 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      6 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w      6 calls
DFH: compute_K                      :      0.017u      0.000s      0.001w      6 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      2.450u      0.467s      0.200w      6 calls
HF: Form C                          :      0.083u      0.000s      0.007w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.017w      1 calls
DFH: initialize()                   :      0.067u      0.000s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.003w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     59.783u      0.667s      4.264w      6 calls
| UV: Form V                        :     59.767u      0.667s      4.260w      6 calls
| | Properties                      :     23.450u      0.317s      1.702w   1560 calls
| | Functional                      :      1.150u      0.050s      0.065w   1560 calls
| | V_xc                            :     35.100u      0.283s      2.489w   1560 calls
| JK: D                             :      0.000u      0.000s      0.000w      6 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      6 calls
| JK: JK                            :      0.017u      0.000s      0.002w      6 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.002w      6 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      6 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w      6 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.001w      6 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      2.450u      0.467s      0.200w      6 calls
HF: Form C                          :      0.083u      0.000s      0.007w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************
