
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:12:37 2025
Timers Off: Fri Sep 19 23:12:42 2025

Wall Time:        5.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.009w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.011w      3 calls
DFH: initialize()                   :      0.033u      0.017s      0.011w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.003w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     72.917u      0.733s      5.023w      6 calls
UV: Form V                          :     72.817u      0.733s      5.019w      6 calls
Properties                          :     28.000u      0.250s      1.923w   1560 calls
Functional                          :      1.233u      0.000s      0.070w   1560 calls
V_xc                                :     43.467u      0.483s      3.021w   1560 calls
JK: D                               :      0.000u      0.000s      0.000w      6 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      6 calls
JK: JK                              :      0.050u      0.000s      0.002w      6 calls
DFH: compute_JK()                   :      0.050u      0.000s      0.002w      6 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      6 calls
DFH: compute_J                      :      0.050u      0.000s      0.001w      6 calls
DFH: compute_K                      :      0.000u      0.000s      0.001w      6 calls
JK: AO2USO                          :      0.033u      0.000s      0.000w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      3.117u      1.183s      0.288w      6 calls
HF: Form C                          :      0.050u      0.000s      0.005w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w      1 calls
DFH: initialize()                   :      0.033u      0.017s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.004w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.003w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     72.917u      0.733s      5.023w      6 calls
| UV: Form V                        :     72.817u      0.733s      5.019w      6 calls
| | Properties                      :     28.000u      0.250s      1.923w   1560 calls
| | Functional                      :      1.233u      0.000s      0.070w   1560 calls
| | V_xc                            :     43.467u      0.483s      3.021w   1560 calls
| JK: D                             :      0.000u      0.000s      0.000w      6 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      6 calls
| JK: JK                            :      0.050u      0.000s      0.002w      6 calls
| | DFH: compute_JK()               :      0.050u      0.000s      0.002w      6 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      6 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.001w      6 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      6 calls
| JK: AO2USO                        :      0.033u      0.000s      0.000w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      3.117u      1.183s      0.288w      6 calls
HF: Form C                          :      0.050u      0.000s      0.005w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************
