
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:12:43 2025
Timers Off: Fri Sep 19 23:12:48 2025

Wall Time:        5.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.010w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.012w      3 calls
DFH: initialize()                   :      0.100u      0.033s      0.016w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.003w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     73.600u      0.700s      5.084w      6 calls
UV: Form V                          :     73.500u      0.700s      5.077w      6 calls
Properties                          :     28.883u      0.333s      2.010w   1560 calls
Functional                          :      1.067u      0.067s      0.078w   1560 calls
V_xc                                :     43.433u      0.283s      2.980w   1560 calls
JK: D                               :      0.000u      0.000s      0.000w      6 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      6 calls
JK: JK                              :      0.050u      0.000s      0.003w      6 calls
DFH: compute_JK()                   :      0.050u      0.000s      0.003w      6 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.000w      6 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w      6 calls
DFH: compute_K                      :      0.033u      0.000s      0.002w      6 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      2.167u      0.683s      0.201w      6 calls
HF: Form C                          :      0.067u      0.033s      0.004w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.008w      1 calls
DFH: initialize()                   :      0.100u      0.033s      0.016w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.003w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :     73.600u      0.700s      5.084w      6 calls
| UV: Form V                        :     73.500u      0.700s      5.077w      6 calls
| | Properties                      :     28.883u      0.333s      2.010w   1560 calls
| | Functional                      :      1.067u      0.067s      0.078w   1560 calls
| | V_xc                            :     43.433u      0.283s      2.980w   1560 calls
| JK: D                             :      0.000u      0.000s      0.000w      6 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      6 calls
| JK: JK                            :      0.050u      0.000s      0.003w      6 calls
| | DFH: compute_JK()               :      0.050u      0.000s      0.003w      6 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.000w      6 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w      6 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.002w      6 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      2.167u      0.683s      0.201w      6 calls
HF: Form C                          :      0.067u      0.033s      0.004w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************
