
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:47 2025
Timers Off: Fri Sep 19 23:13:48 2025

Wall Time:        1.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.065w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.017s      0.079w      3 calls
DFH: initialize()                   :      0.300u      0.017s      0.054w      1 calls
DFH: AO Construction                :      0.067u      0.000s      0.006w      1 calls
DFH: AO-Met. Contraction            :      0.117u      0.017s      0.006w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.167u      0.200s      0.303w      7 calls
UV: Form V                          :      4.867u      0.183s      0.286w      7 calls
Properties                          :      1.867u      0.083s      0.103w   1841 calls
Functional                          :      1.100u      0.033s      0.061w   1841 calls
V_xc                                :      1.750u      0.067s      0.114w   1841 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.283u      0.000s      0.014w      7 calls
DFH: compute_JK()                   :      0.283u      0.000s      0.014w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.083u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.167u      0.000s      0.011w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.083u      3.117s      0.230w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.065w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.044w      1 calls
DFH: initialize()                   :      0.300u      0.017s      0.054w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.034w      2 calls
| DFH: AO Construction              :      0.067u      0.000s      0.006w      1 calls
| DFH: AO-Met. Contraction          :      0.117u      0.017s      0.006w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.167u      0.200s      0.303w      7 calls
| UV: Form V                        :      4.867u      0.183s      0.286w      7 calls
| | Properties                      :      1.867u      0.083s      0.103w   1841 calls
| | Functional                      :      1.100u      0.033s      0.061w   1841 calls
| | V_xc                            :      1.750u      0.067s      0.114w   1841 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.283u      0.000s      0.014w      7 calls
| | DFH: compute_JK()               :      0.283u      0.000s      0.014w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.083u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.167u      0.000s      0.011w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.083u      3.117s      0.230w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
