
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:48 2025
Timers Off: Fri Sep 19 23:13:50 2025

Wall Time:        1.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.100u      0.017s      0.062w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.017s      0.077w      3 calls
DFH: initialize()                   :      0.233u      0.050s      0.050w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.006w      1 calls
DFH: AO-Met. Contraction            :      0.117u      0.017s      0.004w      1 calls
HF: Form core H                     :      0.017u      0.033s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.133u      0.133s      0.294w      7 calls
UV: Form V                          :      4.850u      0.100s      0.282w      7 calls
Properties                          :      2.017u      0.050s      0.104w   1841 calls
Functional                          :      0.983u      0.033s      0.058w   1841 calls
V_xc                                :      1.733u      0.017s      0.116w   1841 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.233u      0.000s      0.009w      7 calls
DFH: compute_JK()                   :      0.233u      0.000s      0.008w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.033u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.200u      0.000s      0.007w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.767u      3.400s      0.231w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.100u      0.017s      0.062w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.017s      0.043w      1 calls
DFH: initialize()                   :      0.233u      0.050s      0.050w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.034w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.006w      1 calls
| DFH: AO-Met. Contraction          :      0.117u      0.017s      0.004w      1 calls
HF: Form core H                     :      0.017u      0.033s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.133u      0.133s      0.294w      7 calls
| UV: Form V                        :      4.850u      0.100s      0.282w      7 calls
| | Properties                      :      2.017u      0.050s      0.104w   1841 calls
| | Functional                      :      0.983u      0.033s      0.058w   1841 calls
| | V_xc                            :      1.733u      0.017s      0.116w   1841 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.233u      0.000s      0.009w      7 calls
| | DFH: compute_JK()               :      0.233u      0.000s      0.008w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.200u      0.000s      0.007w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.767u      3.400s      0.231w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
