
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:50 2025
Timers Off: Fri Sep 19 23:13:51 2025

Wall Time:        1.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.100u      0.017s      0.064w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.033s      0.077w      3 calls
DFH: initialize()                   :      0.317u      0.033s      0.053w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.006w      1 calls
DFH: AO-Met. Contraction            :      0.183u      0.017s      0.009w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.367u      0.167s      0.313w      7 calls
UV: Form V                          :      4.950u      0.150s      0.287w      7 calls
Properties                          :      1.900u      0.117s      0.101w   1841 calls
Functional                          :      0.900u      0.000s      0.057w   1841 calls
V_xc                                :      2.067u      0.033s      0.125w   1841 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w      7 calls
JK: JK                              :      0.400u      0.000s      0.023w      7 calls
DFH: compute_JK()                   :      0.400u      0.000s      0.023w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.400u      0.000s      0.021w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.417u      2.467s      0.222w      7 calls
HF: Form C                          :      0.067u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.100u      0.017s      0.064w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.017s      0.044w      1 calls
DFH: initialize()                   :      0.317u      0.033s      0.053w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.033w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.006w      1 calls
| DFH: AO-Met. Contraction          :      0.183u      0.017s      0.009w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.367u      0.167s      0.313w      7 calls
| UV: Form V                        :      4.950u      0.150s      0.287w      7 calls
| | Properties                      :      1.900u      0.117s      0.101w   1841 calls
| | Functional                      :      0.900u      0.000s      0.057w   1841 calls
| | V_xc                            :      2.067u      0.033s      0.125w   1841 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w      7 calls
| JK: JK                            :      0.400u      0.000s      0.023w      7 calls
| | DFH: compute_JK()               :      0.400u      0.000s      0.023w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.400u      0.000s      0.021w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.417u      2.467s      0.222w      7 calls
HF: Form C                          :      0.067u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
