
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:28 2025
Timers Off: Fri Sep 19 23:13:29 2025

Wall Time:        1.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.467u      0.017s      0.034w      1 calls
DFH: AO Construction                :      0.017u      0.017s      0.002w      1 calls
DFH: AO-Met. Contraction            :      0.417u      0.000s      0.027w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      4.550u      0.117s      0.265w      7 calls
UV: Form V                          :      4.367u      0.100s      0.257w      7 calls
Properties                          :      1.733u      0.033s      0.094w   1575 calls
Functional                          :      0.900u      0.033s      0.058w   1575 calls
V_xc                                :      1.683u      0.033s      0.101w   1575 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.183u      0.000s      0.006w      7 calls
DFH: compute_JK()                   :      0.183u      0.000s      0.006w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.067u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.117u      0.000s      0.004w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.000u      3.217s      0.234w      7 calls
HF: Form C                          :      0.067u      0.017s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.467u      0.017s      0.034w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.017u      0.017s      0.002w      1 calls
| DFH: AO-Met. Contraction          :      0.417u      0.000s      0.027w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      4.550u      0.117s      0.265w      7 calls
| UV: Form V                        :      4.367u      0.100s      0.257w      7 calls
| | Properties                      :      1.733u      0.033s      0.094w   1575 calls
| | Functional                      :      0.900u      0.033s      0.058w   1575 calls
| | V_xc                            :      1.683u      0.033s      0.101w   1575 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.183u      0.000s      0.006w      7 calls
| | DFH: compute_JK()               :      0.183u      0.000s      0.006w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.067u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.004w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.000u      3.217s      0.234w      7 calls
HF: Form C                          :      0.067u      0.017s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
