
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:30 2025
Timers Off: Fri Sep 19 23:13:31 2025

Wall Time:        1.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.617u      0.000s      0.044w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.533u      0.000s      0.033w      1 calls
HF: Form core H                     :      0.000u      0.033s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      4.983u      0.133s      0.283w      7 calls
UV: Form V                          :      4.850u      0.133s      0.273w      7 calls
Properties                          :      1.950u      0.067s      0.101w   1575 calls
Functional                          :      1.067u      0.000s      0.062w   1575 calls
V_xc                                :      1.750u      0.050s      0.106w   1575 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.133u      0.000s      0.008w      7 calls
DFH: compute_JK()                   :      0.133u      0.000s      0.008w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w      7 calls
DFH: compute_K                      :      0.133u      0.000s      0.007w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.800u      3.267s      0.233w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.617u      0.000s      0.044w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.533u      0.000s      0.033w      1 calls
HF: Form core H                     :      0.000u      0.033s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      4.983u      0.133s      0.283w      7 calls
| UV: Form V                        :      4.850u      0.133s      0.273w      7 calls
| | Properties                      :      1.950u      0.067s      0.101w   1575 calls
| | Functional                      :      1.067u      0.000s      0.062w   1575 calls
| | V_xc                            :      1.750u      0.050s      0.106w   1575 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.133u      0.000s      0.008w      7 calls
| | DFH: compute_JK()               :      0.133u      0.000s      0.008w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w      7 calls
| | | DFH: compute_K                :      0.133u      0.000s      0.007w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.800u      3.267s      0.233w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
