
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:43 2025
Timers Off: Fri Sep 19 23:13:44 2025

Wall Time:        1.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.117u      0.017s      0.085w      1 calls
Libint2ERI::Libint2ERI              :      0.150u      0.017s      0.110w      3 calls
DFH: initialize()                   :      0.350u      0.033s      0.070w      1 calls
DFH: AO Construction                :      0.167u      0.017s      0.009w      1 calls
DFH: AO-Met. Contraction            :      0.083u      0.017s      0.007w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.617u      0.150s      0.390w      7 calls
UV: Form V                          :      6.400u      0.150s      0.379w      7 calls
Properties                          :      2.200u      0.050s      0.140w   1925 calls
Functional                          :      1.050u      0.033s      0.060w   1925 calls
V_xc                                :      3.050u      0.067s      0.174w   1925 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.200u      0.000s      0.008w      7 calls
DFH: compute_JK()                   :      0.200u      0.000s      0.008w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.017u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.183u      0.000s      0.006w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      3.283u      0.917s      0.237w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.117u      0.017s      0.085w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.017s      0.062w      1 calls
DFH: initialize()                   :      0.350u      0.033s      0.070w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.048w      2 calls
| DFH: AO Construction              :      0.167u      0.017s      0.009w      1 calls
| DFH: AO-Met. Contraction          :      0.083u      0.017s      0.007w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.617u      0.150s      0.390w      7 calls
| UV: Form V                        :      6.400u      0.150s      0.379w      7 calls
| | Properties                      :      2.200u      0.050s      0.140w   1925 calls
| | Functional                      :      1.050u      0.033s      0.060w   1925 calls
| | V_xc                            :      3.050u      0.067s      0.174w   1925 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.200u      0.000s      0.008w      7 calls
| | DFH: compute_JK()               :      0.200u      0.000s      0.008w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.183u      0.000s      0.006w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      3.283u      0.917s      0.237w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
