
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:44 2025
Timers Off: Fri Sep 19 23:13:46 2025

Wall Time:        1.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.133u      0.050s      0.108w      1 calls
Libint2ERI::Libint2ERI              :      0.150u      0.050s      0.126w      3 calls
DFH: initialize()                   :      0.667u      0.250s      0.099w      1 calls
DFH: AO Construction                :      0.050u      0.167s      0.011w      1 calls
DFH: AO-Met. Contraction            :      0.517u      0.017s      0.034w      1 calls
HF: Form core H                     :      0.000u      0.050s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.233u      0.267s      0.316w      7 calls
UV: Form V                          :      5.067u      0.250s      0.306w      7 calls
Properties                          :      2.467u      0.050s      0.108w   1925 calls
Functional                          :      0.833u      0.133s      0.057w   1925 calls
V_xc                                :      1.767u      0.050s      0.136w   1925 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.150u      0.000s      0.008w      7 calls
DFH: compute_JK()                   :      0.150u      0.000s      0.008w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.050u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.100u      0.000s      0.005w      7 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.133u      3.283s      0.239w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.133u      0.050s      0.108w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.033s      0.079w      1 calls
DFH: initialize()                   :      0.667u      0.250s      0.099w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.017s      0.047w      2 calls
| DFH: AO Construction              :      0.050u      0.167s      0.011w      1 calls
| DFH: AO-Met. Contraction          :      0.517u      0.017s      0.034w      1 calls
HF: Form core H                     :      0.000u      0.050s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.233u      0.267s      0.316w      7 calls
| UV: Form V                        :      5.067u      0.250s      0.306w      7 calls
| | Properties                      :      2.467u      0.050s      0.108w   1925 calls
| | Functional                      :      0.833u      0.133s      0.057w   1925 calls
| | V_xc                            :      1.767u      0.050s      0.136w   1925 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.150u      0.000s      0.008w      7 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.008w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.005w      7 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.133u      3.283s      0.239w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
