
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:46 2025
Timers Off: Fri Sep 19 23:13:47 2025

Wall Time:        1.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.100u      0.017s      0.078w      1 calls
Libint2ERI::Libint2ERI              :      0.133u      0.033s      0.101w      3 calls
DFH: initialize()                   :      0.367u      0.033s      0.070w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.006w      1 calls
DFH: AO-Met. Contraction            :      0.217u      0.017s      0.011w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.017u      0.200s      0.291w      7 calls
UV: Form V                          :      4.833u      0.200s      0.281w      7 calls
Properties                          :      2.333u      0.100s      0.109w   1925 calls
Functional                          :      0.850u      0.050s      0.058w   1925 calls
V_xc                                :      1.583u      0.033s      0.109w   1925 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w      7 calls
JK: JK                              :      0.133u      0.000s      0.008w      7 calls
DFH: compute_JK()                   :      0.133u      0.000s      0.008w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.050u      0.000s      0.002w      7 calls
DFH: compute_K                      :      0.083u      0.000s      0.005w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.017u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.033u      3.400s      0.253w      7 calls
HF: Form C                          :      0.033u      0.017s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.100u      0.017s      0.078w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.017s      0.055w      1 calls
DFH: initialize()                   :      0.367u      0.033s      0.070w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.017s      0.047w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.006w      1 calls
| DFH: AO-Met. Contraction          :      0.217u      0.017s      0.011w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.017u      0.200s      0.291w      7 calls
| UV: Form V                        :      4.833u      0.200s      0.281w      7 calls
| | Properties                      :      2.333u      0.100s      0.109w   1925 calls
| | Functional                      :      0.850u      0.050s      0.058w   1925 calls
| | V_xc                            :      1.583u      0.033s      0.109w   1925 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w      7 calls
| JK: JK                            :      0.133u      0.000s      0.008w      7 calls
| | DFH: compute_JK()               :      0.133u      0.000s      0.008w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.002w      7 calls
| | | DFH: compute_K                :      0.083u      0.000s      0.005w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      7 calls
HF: Form F                          :      0.017u      0.000s      0.000w      7 calls
HF: DIIS                            :      1.033u      3.400s      0.253w      7 calls
HF: Form C                          :      0.033u      0.017s      0.002w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************
