
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:39 2025
Timers Off: Fri Sep 19 23:13:40 2025

Wall Time:        1.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.004w      3 calls
DFH: initialize()                   :      0.617u      0.000s      0.044w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.533u      0.000s      0.033w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      7.283u      0.083s      0.432w      8 calls
UV: Form V                          :      7.150u      0.083s      0.424w      8 calls
Properties                          :      2.683u      0.033s      0.160w   1776 calls
Functional                          :      1.467u      0.000s      0.077w   1776 calls
V_xc                                :      2.933u      0.017s      0.182w   1776 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.100u      0.000s      0.006w      8 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.006w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.033u      0.000s      0.002w      8 calls
DFH: compute_K                      :      0.067u      0.000s      0.005w      8 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      2.733u      1.467s      0.251w      8 calls
HF: Form C                          :      0.050u      0.000s      0.004w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.003w      1 calls
DFH: initialize()                   :      0.617u      0.000s      0.044w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.533u      0.000s      0.033w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      7.283u      0.083s      0.432w      8 calls
| UV: Form V                        :      7.150u      0.083s      0.424w      8 calls
| | Properties                      :      2.683u      0.033s      0.160w   1776 calls
| | Functional                      :      1.467u      0.000s      0.077w   1776 calls
| | V_xc                            :      2.933u      0.017s      0.182w   1776 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.100u      0.000s      0.006w      8 calls
| | DFH: compute_JK()               :      0.100u      0.000s      0.006w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.002w      8 calls
| | | DFH: compute_K                :      0.067u      0.000s      0.005w      8 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      2.733u      1.467s      0.251w      8 calls
HF: Form C                          :      0.050u      0.000s      0.004w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
