
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:34 2025
Timers Off: Fri Sep 19 23:13:35 2025

Wall Time:        1.08 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.933u      0.033s      0.064w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.883u      0.000s      0.052w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.300u      0.117s      0.305w      8 calls
UV: Form V                          :      5.150u      0.117s      0.297w      8 calls
Properties                          :      1.783u      0.050s      0.099w   1792 calls
Functional                          :      1.233u      0.033s      0.073w   1792 calls
V_xc                                :      1.983u      0.033s      0.121w   1792 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.083u      0.000s      0.006w      8 calls
DFH: compute_JK()                   :      0.067u      0.000s      0.006w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w      8 calls
DFH: compute_K                      :      0.067u      0.000s      0.004w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.133u      3.317s      0.240w      8 calls
HF: Form C                          :      0.033u      0.017s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.933u      0.033s      0.064w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.883u      0.000s      0.052w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.300u      0.117s      0.305w      8 calls
| UV: Form V                        :      5.150u      0.117s      0.297w      8 calls
| | Properties                      :      1.783u      0.050s      0.099w   1792 calls
| | Functional                      :      1.233u      0.033s      0.073w   1792 calls
| | V_xc                            :      1.983u      0.033s      0.121w   1792 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.083u      0.000s      0.006w      8 calls
| | DFH: compute_JK()               :      0.067u      0.000s      0.006w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w      8 calls
| | | DFH: compute_K                :      0.067u      0.000s      0.004w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.133u      3.317s      0.240w      8 calls
HF: Form C                          :      0.033u      0.017s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
