
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:59 2025
Timers Off: Fri Sep 19 23:14:00 2025

Wall Time:        1.12 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.030w      3 calls
DFH: initialize()                   :      0.300u      0.017s      0.035w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.167u      0.017s      0.008w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.883u      0.150s      0.328w      8 calls
UV: Form V                          :      5.633u      0.150s      0.316w      8 calls
Properties                          :      2.483u      0.033s      0.116w   1904 calls
Functional                          :      1.050u      0.033s      0.066w   1904 calls
V_xc                                :      2.017u      0.083s      0.129w   1904 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.217u      0.000s      0.010w      8 calls
DFH: compute_JK()                   :      0.217u      0.000s      0.010w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.033u      0.000s      0.002w      8 calls
DFH: compute_K                      :      0.183u      0.000s      0.008w      8 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.667u      2.667s      0.245w      8 calls
HF: Form C                          :      0.033u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.017w      1 calls
DFH: initialize()                   :      0.300u      0.017s      0.035w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.167u      0.017s      0.008w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.883u      0.150s      0.328w      8 calls
| UV: Form V                        :      5.633u      0.150s      0.316w      8 calls
| | Properties                      :      2.483u      0.033s      0.116w   1904 calls
| | Functional                      :      1.050u      0.033s      0.066w   1904 calls
| | V_xc                            :      2.017u      0.083s      0.129w   1904 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.217u      0.000s      0.010w      8 calls
| | DFH: compute_JK()               :      0.217u      0.000s      0.010w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.002w      8 calls
| | | DFH: compute_K                :      0.183u      0.000s      0.008w      8 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.667u      2.667s      0.245w      8 calls
HF: Form C                          :      0.033u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
