
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:14:01 2025
Timers Off: Fri Sep 19 23:14:02 2025

Wall Time:        1.08 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.031w      3 calls
DFH: initialize()                   :      0.317u      0.033s      0.036w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.200u      0.017s      0.009w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.617u      0.083s      0.319w      8 calls
UV: Form V                          :      5.417u      0.017s      0.308w      8 calls
Properties                          :      1.983u      0.000s      0.109w   1904 calls
Functional                          :      1.117u      0.017s      0.067w   1904 calls
V_xc                                :      2.250u      0.000s      0.127w   1904 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.133u      0.050s      0.010w      8 calls
DFH: compute_JK()                   :      0.133u      0.050s      0.010w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.017u      0.000s      0.002w      8 calls
DFH: compute_K                      :      0.100u      0.050s      0.007w      8 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.000u      3.100s      0.228w      8 calls
HF: Form C                          :      0.050u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.018w      1 calls
DFH: initialize()                   :      0.317u      0.033s      0.036w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.013w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.200u      0.017s      0.009w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.617u      0.083s      0.319w      8 calls
| UV: Form V                        :      5.417u      0.017s      0.308w      8 calls
| | Properties                      :      1.983u      0.000s      0.109w   1904 calls
| | Functional                      :      1.117u      0.017s      0.067w   1904 calls
| | V_xc                            :      2.250u      0.000s      0.127w   1904 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.133u      0.050s      0.010w      8 calls
| | DFH: compute_JK()               :      0.133u      0.050s      0.010w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.002w      8 calls
| | | DFH: compute_K                :      0.100u      0.050s      0.007w      8 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.000u      3.100s      0.228w      8 calls
HF: Form C                          :      0.050u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
