
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:14:02 2025
Timers Off: Fri Sep 19 23:14:03 2025

Wall Time:        1.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.030w      3 calls
DFH: initialize()                   :      0.350u      0.083s      0.041w      1 calls
DFH: AO Construction                :      0.167u      0.067s      0.012w      1 calls
DFH: AO-Met. Contraction            :      0.117u      0.017s      0.009w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.483u      0.150s      0.371w      9 calls
UV: Form V                          :      6.150u      0.100s      0.351w      9 calls
Properties                          :      2.150u      0.033s      0.122w   2142 calls
Functional                          :      1.200u      0.033s      0.075w   2142 calls
V_xc                                :      2.700u      0.033s      0.148w   2142 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.317u      0.050s      0.017w      9 calls
DFH: compute_JK()                   :      0.317u      0.050s      0.017w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.133u      0.000s      0.003w      9 calls
DFH: compute_K                      :      0.150u      0.050s      0.013w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.100u      3.183s      0.235w      9 calls
HF: Form C                          :      0.033u      0.017s      0.002w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.017w      1 calls
DFH: initialize()                   :      0.350u      0.083s      0.041w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      2 calls
| DFH: AO Construction              :      0.167u      0.067s      0.012w      1 calls
| DFH: AO-Met. Contraction          :      0.117u      0.017s      0.009w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.483u      0.150s      0.371w      9 calls
| UV: Form V                        :      6.150u      0.100s      0.351w      9 calls
| | Properties                      :      2.150u      0.033s      0.122w   2142 calls
| | Functional                      :      1.200u      0.033s      0.075w   2142 calls
| | V_xc                            :      2.700u      0.033s      0.148w   2142 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.317u      0.050s      0.017w      9 calls
| | DFH: compute_JK()               :      0.317u      0.050s      0.017w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.133u      0.000s      0.003w      9 calls
| | | DFH: compute_K                :      0.150u      0.050s      0.013w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.100u      3.183s      0.235w      9 calls
HF: Form C                          :      0.033u      0.017s      0.002w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************
