
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:14:05 2025
Timers Off: Fri Sep 19 23:14:06 2025

Wall Time:        1.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.031w      3 calls
DFH: initialize()                   :      0.283u      0.017s      0.034w      1 calls
DFH: AO Construction                :      0.067u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.150u      0.017s      0.008w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.367u      0.117s      0.363w      9 calls
UV: Form V                          :      6.183u      0.117s      0.345w      9 calls
Properties                          :      2.367u      0.033s      0.124w   2142 calls
Functional                          :      1.467u      0.017s      0.072w   2142 calls
V_xc                                :      2.250u      0.050s      0.144w   2142 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.183u      0.000s      0.016w      9 calls
DFH: compute_JK()                   :      0.183u      0.000s      0.016w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.083u      0.000s      0.003w      9 calls
DFH: compute_K                      :      0.100u      0.000s      0.012w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.167u      2.950s      0.233w      9 calls
HF: Form C                          :      0.067u      0.000s      0.003w      9 calls
HF: Form D                          :      0.000u      0.017s      0.000w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.018w      1 calls
DFH: initialize()                   :      0.283u      0.017s      0.034w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      2 calls
| DFH: AO Construction              :      0.067u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.150u      0.017s      0.008w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.367u      0.117s      0.363w      9 calls
| UV: Form V                        :      6.183u      0.117s      0.345w      9 calls
| | Properties                      :      2.367u      0.033s      0.124w   2142 calls
| | Functional                      :      1.467u      0.017s      0.072w   2142 calls
| | V_xc                            :      2.250u      0.050s      0.144w   2142 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.183u      0.000s      0.016w      9 calls
| | DFH: compute_JK()               :      0.183u      0.000s      0.016w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.083u      0.000s      0.003w      9 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.012w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.167u      2.950s      0.233w      9 calls
HF: Form C                          :      0.067u      0.000s      0.003w      9 calls
HF: Form D                          :      0.000u      0.017s      0.000w      9 calls

**************************************************************************************
