
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:55 2025
Timers Off: Fri Sep 19 23:13:56 2025

Wall Time:        1.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.031w      3 calls
DFH: initialize()                   :      0.983u      0.033s      0.077w      1 calls
DFH: AO Construction                :      0.050u      0.017s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.750u      0.000s      0.045w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      7.000u      0.167s      0.397w      9 calls
UV: Form V                          :      6.583u      0.167s      0.379w      9 calls
Properties                          :      2.650u      0.050s      0.125w   2196 calls
Functional                          :      1.033u      0.017s      0.077w   2196 calls
V_xc                                :      2.783u      0.083s      0.171w   2196 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w      9 calls
JK: JK                              :      0.350u      0.000s      0.016w      9 calls
DFH: compute_JK()                   :      0.350u      0.000s      0.015w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.083u      0.000s      0.004w      9 calls
DFH: compute_K                      :      0.267u      0.000s      0.011w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.000u      3.183s      0.237w      9 calls
HF: Form C                          :      0.050u      0.017s      0.003w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.017w      1 calls
DFH: initialize()                   :      0.983u      0.033s      0.077w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      2 calls
| DFH: AO Construction              :      0.050u      0.017s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.750u      0.000s      0.045w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      7.000u      0.167s      0.397w      9 calls
| UV: Form V                        :      6.583u      0.167s      0.379w      9 calls
| | Properties                      :      2.650u      0.050s      0.125w   2196 calls
| | Functional                      :      1.033u      0.017s      0.077w   2196 calls
| | V_xc                            :      2.783u      0.083s      0.171w   2196 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w      9 calls
| JK: JK                            :      0.350u      0.000s      0.016w      9 calls
| | DFH: compute_JK()               :      0.350u      0.000s      0.015w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.083u      0.000s      0.004w      9 calls
| | | DFH: compute_K                :      0.267u      0.000s      0.011w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.000u      3.183s      0.237w      9 calls
HF: Form C                          :      0.050u      0.017s      0.003w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************
