
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:56 2025
Timers Off: Fri Sep 19 23:13:57 2025

Wall Time:        1.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.031w      3 calls
DFH: initialize()                   :      0.367u      0.033s      0.040w      1 calls
DFH: AO Construction                :      0.050u      0.000s      0.005w      1 calls
DFH: AO-Met. Contraction            :      0.217u      0.017s      0.013w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.567u      0.167s      0.381w      9 calls
UV: Form V                          :      6.267u      0.133s      0.365w      9 calls
Properties                          :      2.500u      0.067s      0.134w   2196 calls
Functional                          :      1.350u      0.017s      0.079w   2196 calls
V_xc                                :      2.300u      0.050s      0.146w   2196 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.300u      0.017s      0.013w      9 calls
DFH: compute_JK()                   :      0.300u      0.017s      0.013w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.117u      0.000s      0.003w      9 calls
DFH: compute_K                      :      0.183u      0.017s      0.010w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.267u      3.017s      0.229w      9 calls
HF: Form C                          :      0.000u      0.017s      0.003w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.018w      1 calls
DFH: initialize()                   :      0.367u      0.033s      0.040w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      2 calls
| DFH: AO Construction              :      0.050u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction          :      0.217u      0.017s      0.013w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.567u      0.167s      0.381w      9 calls
| UV: Form V                        :      6.267u      0.133s      0.365w      9 calls
| | Properties                      :      2.500u      0.067s      0.134w   2196 calls
| | Functional                      :      1.350u      0.017s      0.079w   2196 calls
| | V_xc                            :      2.300u      0.050s      0.146w   2196 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.300u      0.017s      0.013w      9 calls
| | DFH: compute_JK()               :      0.300u      0.017s      0.013w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.117u      0.000s      0.003w      9 calls
| | | DFH: compute_K                :      0.183u      0.017s      0.010w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.267u      3.017s      0.229w      9 calls
HF: Form C                          :      0.000u      0.017s      0.003w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************
