
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:57 2025
Timers Off: Fri Sep 19 23:13:58 2025

Wall Time:        1.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.017s      0.003w      1 calls
build grid                          :      0.000u      0.017s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.031w      3 calls
DFH: initialize()                   :      0.400u      0.067s      0.043w      1 calls
DFH: AO Construction                :      0.133u      0.033s      0.009w      1 calls
DFH: AO-Met. Contraction            :      0.183u      0.017s      0.013w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.267u      0.100s      0.361w      9 calls
UV: Form V                          :      5.983u      0.100s      0.343w      9 calls
Properties                          :      2.150u      0.033s      0.122w   2196 calls
Functional                          :      1.450u      0.033s      0.071w   2196 calls
V_xc                                :      2.300u      0.033s      0.144w   2196 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w      9 calls
JK: JK                              :      0.267u      0.000s      0.015w      9 calls
DFH: compute_JK()                   :      0.267u      0.000s      0.015w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.033u      0.000s      0.004w      9 calls
DFH: compute_K                      :      0.233u      0.000s      0.010w      9 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.100u      3.050s      0.236w      9 calls
HF: Form C                          :      0.067u      0.017s      0.004w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.017s      0.003w      1 calls
| build grid                        :      0.000u      0.017s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.018w      1 calls
DFH: initialize()                   :      0.400u      0.067s      0.043w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      2 calls
| DFH: AO Construction              :      0.133u      0.033s      0.009w      1 calls
| DFH: AO-Met. Contraction          :      0.183u      0.017s      0.013w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      6.267u      0.100s      0.361w      9 calls
| UV: Form V                        :      5.983u      0.100s      0.343w      9 calls
| | Properties                      :      2.150u      0.033s      0.122w   2196 calls
| | Functional                      :      1.450u      0.033s      0.071w   2196 calls
| | V_xc                            :      2.300u      0.033s      0.144w   2196 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w      9 calls
| JK: JK                            :      0.267u      0.000s      0.015w      9 calls
| | DFH: compute_JK()               :      0.267u      0.000s      0.015w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.004w      9 calls
| | | DFH: compute_K                :      0.233u      0.000s      0.010w      9 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      1.100u      3.050s      0.236w      9 calls
HF: Form C                          :      0.067u      0.017s      0.004w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************
